,sQuestion,lSolutions,Template,lEquations,iIndex,Alignment,Equiv
10,Mike invested $ 6000 for one year . He invested part of it at 9 % and the rest at 11 % . At the end of the year he earned $ 624 in interest . How much did he invest at each rate ?,"[1800.0, 4200.0]","['0.01 * a * m + 0.01 * b * n = c', 'n + m = d']","['( 0.01 * 9 ) *x + ( 0.01 * 11 ) *y = 624', 'y=(6000-x)']",151268,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 11.0, 'TokenId': 12}, {'coeff': 'b', 'SentenceId': 1, 'Value': 9.0, 'TokenId': 6}, {'coeff': 'c', 'SentenceId': 2, 'Value': 624.0, 'TokenId': 9}, {'coeff': 'd', 'SentenceId': 0, 'Value': 6000.0, 'TokenId': 3}]",[]
11,One pan pizza and two cheesburgers provide 2860 calories . Two pan pizzas and one cheeseburger provide 2990 calories . Find the caloric content of each item .,"[1040.0, 910.0]","['a * m + b * n = c', 'd * m + e * n = f']","['1*x + 2*y = 2860', '2*x + 1*y = 2990']",385266,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 1.0, 'TokenId': 0}, {'coeff': 'b', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 4}, {'coeff': 'c', 'SentenceId': 0, 'Value': 2860.0, 'TokenId': 7}, {'coeff': 'd', 'SentenceId': 1, 'Value': 2.0, 'TokenId': 0}, {'coeff': 'e', 'SentenceId': 1, 'Value': 1.0, 'TokenId': 4}, {'coeff': 'f', 'SentenceId': 1, 'Value': 2990.0, 'TokenId': 7}]",[]
12,A number added to 6 is equal to 30 less than four times the number . what is the number .,[12.0],['m - a * m = -1 * b - c'],['6+x=4*x-30'],243085,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 11}, {'coeff': 'b', 'SentenceId': 0, 'Value': 6.0, 'TokenId': 4}, {'coeff': 'c', 'SentenceId': 0, 'Value': 30.0, 'TokenId': 8}]",[]
13,Hollis is paying off two student loans . One loan charges 7 % interest per year . The other loan charges 9 % interest per year . He owes $ 1500 more on the 7 % loan than he does on the other . Last year he paid a total of $ 617 interest . How much does he owe on each loan ?,"[4700.0, 3200.0]","['0.01 * a * m + 0.01 * b * n = c', 'm - n = d']","['( 0.01 * 7 ) *x + ( 0.01 * 9 ) *y = 617', 'x=y+1500']",203359,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 7.0, 'TokenId': 3}, {'coeff': 'b', 'SentenceId': 2, 'Value': 9.0, 'TokenId': 4}, {'coeff': 'c', 'SentenceId': 4, 'Value': 617.0, 'TokenId': 8}, {'coeff': 'd', 'SentenceId': 3, 'Value': 1500.0, 'TokenId': 3}]","[[[3, 7, 7.0], [1, 3, 7.0]]]"
14,"A car radiator has a 6-liter capacity . If the liquid in the radiators 40 % antifreeze , how much liquid must be replaced with 100 % antifreeze to bring the mixture up to a 50 % solutions ?","[1.0, 5.0]","['a * m + b * n = c * d', 'm + n = c']","['( 0.01 * 40 ) *y + ( 0.01 * 100 ) *x = ( 0.01 * 50 * 6 )', 'y=(6-x)']",310584,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 40.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 100.0, 'TokenId': 17}, {'coeff': 'c', 'SentenceId': 0, 'Value': 6.0, 'TokenId': 5}, {'coeff': 'd', 'SentenceId': 1, 'Value': 50.0, 'TokenId': 27}]",[]
15,How much 1 % boric acid solution and 5 % boric acid solution are needed to make 30 mL of 3 % boric acid solution ?,"[15.0, 15.0]","['a * m + b * n = c * d', 'm + n = c']","['(0.01*1)*x+(0.01*5)*y=(0.01*3*30)', 'y=(30-x)']",306546,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 1.0, 'TokenId': 2}, {'coeff': 'b', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 8}, {'coeff': 'c', 'SentenceId': 0, 'Value': 30.0, 'TokenId': 17}, {'coeff': 'd', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 20}]",[]
16,"Two cars start from the same place and travel in opposite directions . One runs at an average rate which is 24 kilometers per hour faster than the other . Find their rates if after 6 hours , they are 702 km apart .",[46.5],['a * m + a * m = b - a * c'],['(x+24+x)*6=702'],353830,"[{'coeff': 'a', 'SentenceId': 2, 'Value': 6.0, 'TokenId': 5}, {'coeff': 'b', 'SentenceId': 2, 'Value': 702.0, 'TokenId': 10}, {'coeff': 'c', 'SentenceId': 1, 'Value': 24.0, 'TokenId': 8}]",[]
17,"The sum of two numbers is 2 . If the larger number is 14 more than three times the smaller , find the larger number .","[5.0, -3.0]","['m - a * n = b', 'm + n = c']","['x+y=2', 'x-3*y=14']",669386,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 3.0, 'TokenId': 8}, {'coeff': 'b', 'SentenceId': 1, 'Value': 14.0, 'TokenId': 5}, {'coeff': 'c', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 6}]",[]
18,the sum of two numbers is 13 . one number is 1 more than twice the other . find the smallest number .,"[9.0, 4.0]","['m - a * n = b', 'm + n = c']","['x+y=13', 'x = 2*y + 1']",190835,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 2.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 1.0, 'TokenId': 3}, {'coeff': 'c', 'SentenceId': 0, 'Value': 13.0, 'TokenId': 6}]",[]
19,the sum of two numbers is 81 the differance of the same two numbers is 9 . What are the two numbers ?,"[36.0, 45.0]","['m + n = a', 'm - n = b']","['plane+tail_wind=81', 'plane-tail_wind=9']",748694,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 81.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 9.0, 'TokenId': 15}]",[]
20,The sum of two number is 17 . The second number is three times as much as the first number . What are the two numbers ?,"[4.25, 12.75]","['m + n = a', 'n - b * m = 0']","['x+y=17', 'y=3*x']",349390,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 17.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 3.0, 'TokenId': 4}]",[]
21,Two numbers have a sum of 47 their difference is 5 . what are the two numbers ?,"[21.0, 26.0]","['m + n = a', 'm - n = b']","['y=47-x', 'y-x=5']",223977,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 47.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 10}]",[]
22,One solution contains 10 % alcohol while another contains 30 % alcohol . How many liters of each should be mixed to give 10 L of a solution which is 25 % alcohol ?,"[2.5, 7.5]","['a * m + b * n = c * d', 'm + n = c']","['( 0.01 * 10 ) *x + ( 0.01 * 30 ) *y = ( 0.01 * 25 * 10 )', 'y=(10-x)']",53186,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 10.0, 'TokenId': 3}, {'coeff': 'b', 'SentenceId': 0, 'Value': 30.0, 'TokenId': 9}, {'coeff': 'c', 'SentenceId': 1, 'Value': 10.0, 'TokenId': 10}, {'coeff': 'd', 'SentenceId': 1, 'Value': 25.0, 'TokenId': 17}]",[]
23,the sum of two numbers is 140 and their difference is 16 . find the numbers,"[78.0, 62.0]","['m + n = a', 'm - n = b']","['x+y=140', 'x-y=16']",414889,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 140.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 16.0, 'TokenId': 11}]",[]
24,"Eight years ago , Hold was 7 times older than her son . Today , she is exactly 3 times as old as her son . How old are both Mrs. Hold and her son today ?","[36.0, 12.0]","['m - a * n = -1 * a * b + b', 'm - c * n = 0']","['x - 8 = 7 *( y - 8 )', 'x = 3*y']",769390,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 7.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 8.0, 'TokenId': 0}, {'coeff': 'c', 'SentenceId': 1, 'Value': 3.0, 'TokenId': 5}]",[]
25,"If the price of copper is 65 cents/lb and the price of zinc is 30 cents/lb , how many pounds of copper and zinc should be mixed to make 70lb of brass selling for 45 cents per pound ?","[30.0, 40.0]","['a * m + b * n = c * d', 'm + n = c']","['65*x+30*y=45*(70)', 'y=(70-x)']",202906,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 65.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 30.0, 'TokenId': 14}, {'coeff': 'c', 'SentenceId': 0, 'Value': 70.0, 'TokenId': 29}, {'coeff': 'd', 'SentenceId': 0, 'Value': 45.0, 'TokenId': 34}]",[]
26,masc is 7 years older than sam and the sum their ages is 27 . What are their ages ?,"[10.0, 17.0]","['m + n = a', 'm - n = b']","['y+x=27', 'y=x+7']",772422,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 27.0, 'TokenId': 13}, {'coeff': 'b', 'SentenceId': 0, 'Value': 7.0, 'TokenId': 2}]",[]
27,"A real estate salesperson bought promotional calendars and date books to give to her customers at the end of the year . The calendars cost $ 0.75 each , and the date books cost $ 0.50 each . She ordered a total of 500 promotional items and spent $ 300 . How many of each item did she order ?","[300.0, 200.0]","['a * m + b * n = c', 'm + n = d']","['student+general=500', '0.75*student+0.5*general=300']",757472,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 0.75, 'TokenId': 4}, {'coeff': 'b', 'SentenceId': 1, 'Value': 0.5, 'TokenId': 13}, {'coeff': 'c', 'SentenceId': 2, 'Value': 300.0, 'TokenId': 11}, {'coeff': 'd', 'SentenceId': 2, 'Value': 500.0, 'TokenId': 5}]",[]
28,two numbers differ by 10 . The larger number is 6 less than twice the smaller number . Find the numbers .,"[26.0, 16.0]","['a * m - n = b', 'n - m = c']","['x-y=10', 'x = 2*y - 6']",468521,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 2.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 1, 'Value': 6.0, 'TokenId': 4}, {'coeff': 'c', 'SentenceId': 0, 'Value': 10.0, 'TokenId': 4}]",[]
29,508 exceeds six times a number by 70 . What is the number ?,[73.0],['a * m = b - c'],['508=6*x+70'],118870,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 6.0, 'TokenId': 2}, {'coeff': 'b', 'SentenceId': 0, 'Value': 508.0, 'TokenId': 0}, {'coeff': 'c', 'SentenceId': 0, 'Value': 70.0, 'TokenId': 7}]",[]
30,You can paint a certain room in 3 hours . Your brother can do it in 4 hours . How long does it take the two of you working together ?,[1.7142857142899999],['1 / a * m + 1 / b * m = 1'],['( 1 / 3 + 1 / 4 ) *x = 1'],311042,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 1, 'Value': 4.0, 'TokenId': 6}]",[]
31,"In a 2-digit number , the units digit is 4 more than the tens digit . If the digits are reversed the new number is 6 more than thrice the original number . find the original number","[5.0, 1.0]","['10 * m + n - a * m - a * 10 * n = b', 'm - n = c']","['x=y+4', '10*x+y=3*(x+10*y)+6']",937657,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 3.0, 'TokenId': 12}, {'coeff': 'b', 'SentenceId': 1, 'Value': 6.0, 'TokenId': 9}, {'coeff': 'c', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 9}]",[]
32,Walt made an extra 9000 last year from a part time job . He invested part of the money at 9 % and the rest at 8 % . He made a total of $ 770.00 in interest . How much was invested at 8 % ?,"[4000.0, 5000.0]","['0.01 * a * m + 0.01 * b * n = c', 'n + m = d']","['( 0.01 * 8 ) *x + ( .01 * 9 ) *y = 770', 'y=(9000-x)']",149172,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 9.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 1, 'Value': 8.0, 'TokenId': 13}, {'coeff': 'c', 'SentenceId': 2, 'Value': 770.0, 'TokenId': 6}, {'coeff': 'd', 'SentenceId': 0, 'Value': 9000.0, 'TokenId': 4}]","[[[3, 5, 8.0], [1, 13, 8.0]]]"
33,"A small publishing company is planning to publish a new book . The production costs will include one-time fixed costs -LRB- such as editing -RRB- and variable costs -LRB- such as printing -RRB- . The one-time fixed costs will amount to 54,150 . The variable costs will be 12.50 per book . The publisher will sell the finished product to bookstores at a price of $ 25.00 per book . How many books must the publisher print and sell so that the production costs will equal the money obtained from sales ?",[4332.0],['a * m - b * m = c'],['12.50*x+54150=25.00*x'],178255,"[{'coeff': 'a', 'SentenceId': 4, 'Value': 25.0, 'TokenId': 14}, {'coeff': 'b', 'SentenceId': 3, 'Value': 12.5, 'TokenId': 5}, {'coeff': 'c', 'SentenceId': 2, 'Value': 54150.0, 'TokenId': 7}]",[]
34,"One number is 3 more than 2 times the other , and their sum is 27 . what are the numbers .","[19.0, 8.0]","['m - a * n = b', 'm + n = c']","['3 + 2*y = x', 'x+y=27']",78145,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 3}, {'coeff': 'c', 'SentenceId': 0, 'Value': 27.0, 'TokenId': 15}]",[]
35,"Mr. Wise bought $ 1950 worth of stock , some at $ 3.00 per share and some at $ 4.50 per share . If he bought a total of 450 shares of stock , how many of each did he buy ?","[400.0, 50.0]","['a * m + b * n = c', 'm + n = d']","['student+general=450', '3*student+4.5*general=1950']",189170,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 12}, {'coeff': 'b', 'SentenceId': 0, 'Value': 4.5, 'TokenId': 19}, {'coeff': 'c', 'SentenceId': 0, 'Value': 1950.0, 'TokenId': 4}, {'coeff': 'd', 'SentenceId': 1, 'Value': 450.0, 'TokenId': 6}]",[]
36,"Christopher is 2 times as old as Gabriela . Nine years ago , Christopher was 5 times as old as Gabriela . How old is Christopher now ?","[24.0, 12.0]","['m - a * n = -1 * a * b + b', 'm - c * n = 0']","['x = 2*y', '( x - 9 ) = 5 *( y - 9 )']",852610,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 5.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 9.0, 'TokenId': 0}, {'coeff': 'c', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 2}]",[]
37,A man rows a boat 300 feet upstream against a constant current in 10 minutes . He then rows 350 feet downstream -LRB- with the same current -RRB- in 7 minutes .,"[40.0, 10.0]","['a * m + a * n = b', 'c * m - c * n = d']","['300=10*(x-y)', '350=7*(x+y)']",378087,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 7.0, 'TokenId': 13}, {'coeff': 'b', 'SentenceId': 1, 'Value': 350.0, 'TokenId': 3}, {'coeff': 'c', 'SentenceId': 0, 'Value': 10.0, 'TokenId': 13}, {'coeff': 'd', 'SentenceId': 0, 'Value': 300.0, 'TokenId': 5}]",[]
38,"Olga has 5 times as many dimes as nickels . If she has $ 3.30 , how many of each coin does she have ?","[6.0, 30.0]","['a * m + b * n = c', 'd * m - n = 0']","['5*x=y', '0.05*x+0.10*y=3.30']",300691,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 0.050000000745058004, 'TokenId': 8}, {'coeff': 'b', 'SentenceId': 0, 'Value': 0.10000000149011601, 'TokenId': 6}, {'coeff': 'c', 'SentenceId': 1, 'Value': 3.3, 'TokenId': 4}, {'coeff': 'd', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 2}]",[]
39,"A woman is three times as old as her son , and the sum of their ages is 52 . Find each person 's age .","[13.0, 39.0]","['m + n = a', 'n - b * m = 0']","['x+y=52', 'y = 3*x']",165126,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 52.0, 'TokenId': 18}, {'coeff': 'b', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 3}]",[]
40,"You invested a total of $ 5000.00 in 2 different banks . One bank pays 4 % interest , and the other bank pays 6.5 % interest . If you earn a total of $ 282.50 in interest the first year , how much did you invest in each bank ?","[1700.0, 3300.0]","['0.01 * a * m + 0.01 * b * n = c', 'n + m = d']","['( 0.01 * 4 ) *x + ( 0.01 * 6.5 ) *y = 282.50', 'x=5000-y']",316559,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 4.0, 'TokenId': 3}, {'coeff': 'b', 'SentenceId': 1, 'Value': 6.5, 'TokenId': 12}, {'coeff': 'c', 'SentenceId': 2, 'Value': 282.5, 'TokenId': 7}, {'coeff': 'd', 'SentenceId': 0, 'Value': 5000.0, 'TokenId': 6}]",[]
41,eight times a number plus five times another number is -13 . the sum of the two numbers is 1 . what are the numbers .,"[7.0, -6.0]","['a * m + b * n = c', 'm + n = d']","['student+general=1', '8*student+5*general=-13']",257029,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 8.0, 'TokenId': 0}, {'coeff': 'b', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 5}, {'coeff': 'c', 'SentenceId': 0, 'Value': -13.0, 'TokenId': 10}, {'coeff': 'd', 'SentenceId': 1, 'Value': 1.0, 'TokenId': 7}]",[]
42,"Mr. Herman had $ 125 , and Mr. Chandra had $ 80 . After each of them had paid for a concert ticket , Mr. Herman had six times as much money as Mr. Chandra . How much money did Mr. Chandra have left ?",[71.0],['-1 * a * m + m = b - a * c'],['125 - x = 6 *( 80 - x )'],309519,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 6.0, 'TokenId': 14}, {'coeff': 'b', 'SentenceId': 0, 'Value': 125.0, 'TokenId': 4}, {'coeff': 'c', 'SentenceId': 0, 'Value': 80.0, 'TokenId': 11}]",[]
43,"Michael bought two used cars and fixed them up . He sold the first one for a 35 % profit and the second for a 15 % profit . He made a total profit of 2,640 by selling these cars.The price that Michael paid for the first car was 2,600 less than the price for the second car . What was the selling price of each car .","[4500.0, 7100.0]","['0.01 * a * m + 0.01 * b * n = c', 'm - n = d']","['( 0.01 * 35 ) *x + ( 0.01 * 15 ) *y = 2640', 'y=(x+2600)']",58508,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 15.0, 'TokenId': 15}, {'coeff': 'b', 'SentenceId': 1, 'Value': 35.0, 'TokenId': 7}, {'coeff': 'c', 'SentenceId': 2, 'Value': 2640.0, 'TokenId': 6}, {'coeff': 'd', 'SentenceId': 2, 'Value': 2600.0, 'TokenId': 20}]",[]
44,"If the larger of two integers , whose sum is 88 , is divided by the smaller , the quotient is 5 and the remainder is 10 . What are the numbers ?","[75.0, 13.0]","['m - a * n = b', 'm + n = c']","['x+y=88', 'x-5*y=10']",475421,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 21}, {'coeff': 'b', 'SentenceId': 0, 'Value': 10.0, 'TokenId': 26}, {'coeff': 'c', 'SentenceId': 0, 'Value': 88.0, 'TokenId': 10}]",[]
45,"Adult tickets for a play cost $ 16 and child tickets cost $ 9 . If there were 24 people at a performance and the theater collected $ 258 from ticket sales , how many children attended the play ?","[18.0, 6.0]","['a * m + b * n = c', 'm + n = d']","['student+general=24', '16*student+9*general=258']",37441,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 16.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 0, 'Value': 9.0, 'TokenId': 13}, {'coeff': 'c', 'SentenceId': 1, 'Value': 258.0, 'TokenId': 13}, {'coeff': 'd', 'SentenceId': 1, 'Value': 24.0, 'TokenId': 3}]",[]
46,Hotels collect 4 percent sale tax on all sales . If the total sales including tax are 1058.30 find the portion that is the tax .,[1017.59615385],['m + 0.01 * a * m = b'],['x + 0.01 * 4*x = 1058.30'],342861,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 2}, {'coeff': 'b', 'SentenceId': 1, 'Value': 1058.3, 'TokenId': 7}]",[]
47,"Two cars travelling in opposite directions were 360 km apart at the end of two hrs . If one car travels 6 kph faster than the other , find the average speed of the slower car .","[87.0, 93.0]","['a * m + a * n = b', 'n - m = c']","['2 *( x + y ) = 360', 'y=x+6']",380457,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 14}, {'coeff': 'b', 'SentenceId': 0, 'Value': 360.0, 'TokenId': 7}, {'coeff': 'c', 'SentenceId': 1, 'Value': 6.0, 'TokenId': 4}]",[]
48,How much 20 % anti-freeze should be mixed with 60 % anti-freeze to get 10 liters of 28 % anti-freeze ?,"[2.0, 8.0]","['a * m + b * n = c * d', 'm + n = c']","['( .01 * 60 ) *x + ( .01 * 20 ) *y = ( .01 * 28 * 10 )', 'y=(10-x)']",465528,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 20.0, 'TokenId': 2}, {'coeff': 'b', 'SentenceId': 0, 'Value': 60.0, 'TokenId': 9}, {'coeff': 'c', 'SentenceId': 0, 'Value': 10.0, 'TokenId': 14}, {'coeff': 'd', 'SentenceId': 0, 'Value': 28.0, 'TokenId': 17}]",[]
49,One number is 4 more than twice the second number . Their total is 25 . Find the numbers .,"[18.0, 7.0]","['m - a * n = b', 'm + n = c']","['2*y + 4 = x', 'x+y=25']",240645,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 3}, {'coeff': 'c', 'SentenceId': 1, 'Value': 25.0, 'TokenId': 3}]",[]
50,A woman invests 4 times as much at 5 % as she did at 6 % . The total amount of interest she earns in 1 year from both accounts is $ 520 . How much did she invest at each rate ?,"[2000.0, 8000.0]","['0.01 * a * m + 0.01 * b * n = c', 'm - d * n = 0']","['y = 4*x', '0.01*5*y+0.01*6*x=520']",63962,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 8}, {'coeff': 'b', 'SentenceId': 0, 'Value': 6.0, 'TokenId': 14}, {'coeff': 'c', 'SentenceId': 1, 'Value': 520.0, 'TokenId': 15}, {'coeff': 'd', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 3}]",[]
51,Suppose you combine ingots of 25 % copper alloy and 50 % copper alloy to create 40 kg of 45 % copper alloy . How many kilograms of each do you need ?,"[32.0, 8.0]","['a * m + b * n = c * d', 'm + n = c']","['0.01*25*six_percent+0.01*50*nine_percent=0.01*45*40', 'six_percent+nine_percent=40']",574962,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 25.0, 'TokenId': 5}, {'coeff': 'b', 'SentenceId': 0, 'Value': 50.0, 'TokenId': 10}, {'coeff': 'c', 'SentenceId': 0, 'Value': 40.0, 'TokenId': 16}, {'coeff': 'd', 'SentenceId': 0, 'Value': 45.0, 'TokenId': 19}]",[]
