,Symbolic With Steps,Symbolic Without Steps,Symbolic With Intermediate Variables,Numerical With Steps,Numerical Without Steps,Numerical With Intermediate Variables,Symbolic Answer,Numerical Answer,Numerical Equation
10,"There were w birds originally sitting on the fence. 
Then, x more storks came, so now there are w + x storks on the fence. 
Then, y more birds came, so now there are w + x + y birds on the fence. 

To find out how many more storks than birds are sitting on the fence, we want to find w + x - (w + x + y). This can be simplified to x - y.",There are x more storks than birds sitting on the fence.,"w - the number of birds sitting on the fence
x - the number of storks that came
y - the number of birds that came

w + x - y = the number of storks that are sitting on the fence

There are more storks than birds on the fence if:

w + x - y > 0 
w + x > y","There are three birds on the fence. Then, six more storks join them. Now, we have nine animals on the fence. But two more birds join them, so now we have 11 animals on the fence. Therefore, we have 11 - 3 = 8 more storks than birds on the fence.", 4 more storks than birds,"There are $x$ birds and $y$ storks sitting on the fence. 

The expression $(x+y)$ will be the total number of birds and storks, so we need to solve for this. 

We know that $x+y=9$ and that $y=2x-3$. We can plug this value of $y$ into our first equation to solve:

$$x+y=9$$
$$x+2x-3=9$$
$$3x=12$$
$$x=4$$

Now we have that $x=4$ and $y=2x-3=2(4)-3=5$.

There are 5 storks sitting on the fence.",( x - ( w + y ) ),1,( 6.0 - ( 3.0 + 2.0 ) )
11,"First, we need to figure out how many sets of tables they have in their backyard. If they have w sets of tables, that means they have w*x chairs in total.",There are w sets of tables and each set has x chairs. This means that there are wx chairs in the backyard.,"There are w sets of tables. Each set has x chairs. 
So, the total number of chairs is w*x.","There are 11 sets of tables and each set has 13 chairs.
How many chairs are in one set?
There are 13 chairs in one set.
How many chairs are in 11 sets?
There are 143 chairs in 11 sets.",They have 143 chairs in the backyard.,"There are 11 sets of tables and each set has 13 chairs. 
There are 11 * 13 = 143 chairs in the backyard.",( w * x ),143,( 11.0 * 13.0 )
12,"First, we know that there are w more girls than boys. This tell us that the number of boys will be w less than the number of girls. 
Secondly, we know that there are x girls. This means that the number of boys will be x - w. 
Therefore, the total number of pupils will be x + (x - w), which is 2x - w.", w + x,"w - more girls than boys
x - girls

x + w = pupils

x = pupils - w","There are 458 more girls than boys. 
That means there are 458 more girls than there are boys. 
That means there are 458 + 692 = 1150 students in that school.","There are 1,150 pupils in that school.","There are 458 more girls than boys, so we write: 

$g = b + 458$

We know that there are 692 girls in total, so we write: 

$692 = b + 458$

We solve for $b$: 

$b = 234$

Therefore, the total number of pupils in the school is: 

$b + g = 234 + 458 =692$",( ( x + <x) - w ),926,( ( 692.0 + 692.0 ) - 458.0 )
13,"First, we can solve for w in terms of x and y. We know that Dean is x feet taller than Ron, so we can set up the equation:

w(x+y) = y

Now we can solve for w:

w = y/(x+y)

Now we have w in terms of x and y. We can plug this back into the original equation to solve for the depth of the water:

w(x+y) = y

y/(x+y)(x+y) = y

y = y/(x+y)

y = 1/(1+x/y)

Now we have the depth of the water in terms of x and y.","The depth of the water is w times Dean's height. Dean is x feet taller than Ron. If Ron stands at y feet, then the depth of the water is w times (x+y).","Ron's height is h.

Dean's height is h+x.

The depth of the water is w*(h+x).

Now you have all the information you need. You know that h=y-x. Substitute it and simplify the equation.","First, we know that Dean is 4 feet taller than Ron. So Dean is 4 + 13 = 17 feet tall. 
Then, we know that the depth of the water is 15 times Dean's height, so the depth of the water is 15 * 17 = 255 feet.",The water was 60 feet deep.,"Dean's height = $D$
Ron's height = $R$

$D = 4 + R$

Now we can substitute this into the original equation: 

The depth of the water is 15 times Dean's height.

$depth = 15 \times D$

$depth = 15 \times (4 + R)$

$depth = 15 \times 4 + 15 \times R$

$depth = 60 + 15 \times R$

Now we know that Ron stands at 13 feet, so: 

$13 = 60 + 15 \times R$

$-47 = 15 \times R$

$-47 / 15 = R$

$R = -3.133$

Now we can calculate Dean's height: 

$D = 4 + R$

$D = 4 - 3.133$

$D = 0.867$

So the depth of the water was: 

$depth = 15 \times D$

$depth = 15 \times 0.867$

$depth = 13$",( ( x + y ) * w ),255,( ( 4.0 + 13.0 ) * 15.0 )
14,"There were w birds sitting on the fence. 

Then, x more birds came to join them. 

That means there are now w + x birds sitting on the fence. 

Then, y more storks came to join them. 

That means there are now w + x + y birds sitting on the fence.", w + x + y,"There were w birds sitting on the fence. 

x more birds came to join them. 

That makes the total number of birds sitting on the fence equal to w + x. 

y more storks came to join them. 

That makes the total number of birds sitting on the fence equal to w + x + y.","There are 6 birds sitting on the fence. 

4 more birds join them, so there are 10 birds sitting on the fence. 

8 more storks join them, so there are 18 birds sitting on the fence.",There are 18 birds sitting on the fence.,"There are $x$ birds sitting on the fence. 
If 4 more birds come, then there are $x+4$ birds sitting on the fence. 
If 8 more storks come, then there are $x+8$ storks sitting on the fence. 
So, we need to solve the equation:
$$x+4+8=6 \Rightarrow x=6-4-8=-2$$

There are no birds sitting on the fence.",( w + x ),10,( 6.0 + 4.0 )
15,"1. Marco and his dad went strawberry picking. Together they collected strawberries that weighed w pounds.

2. On the way back Marco's dad lost x pounds of strawberries.

3. Marco's strawberries now weighed y pounds.

Now we have to solve for his dad's strawberries. We know that together they had w pounds of strawberries and we know that Marco's strawberries weigh y pounds. So we just have to solve for x.

w - y = x

x = w - y",Marco's dad's strawberries now weigh w - x pounds.,"Let's say Marco and his dad went strawberry picking. Together they collected strawberries that weighed w pounds. On the way back Marco's dad lost x pounds of strawberries. Marco's strawberries now weighed y pounds. How much did his dad's strawberries weigh now?

According to the information given, we can create the following equation:

w - x = y

We can solve for x:

x = w - y

Therefore, the weight of Marco's dad's strawberries now is:

w - (w - y) = y","Marco's dad lost 8 pounds of strawberries. 

That means he had 8 less pounds of strawberries. 

That means his new weight is 28 pounds.", His dad's strawberries now weigh 28 pounds.,"Marco and his dad went strawberry picking. Together they collected strawberries that weighed 36 pounds. On the way back Marco's dad lost 8 pounds of strawberries. Marco's strawberries now weighed 12 pounds. How much did his dad's strawberries weigh now?

Let's denote Marco's strawberries as $x$ and his dad's strawberries as $y$. 

We know that: 
$x + y = 36$
$x = 12$
$y - 8 = 28$

And we need to find: 
$y = ?$

$y = x + y - x = 12 + 28 - 12 = 28$",( ( w - y ) - x ),16,( ( 36.0 - 12.0 ) - 8.0 )
16,"There are w girls and the rest are boys.

This means that w = the total number of girls in the school, and the rest are boys. 

Therefore, the total number of students in the school is w + the rest. 

The question is asking for x more girls than boys. This means that w + x = the total number of girls in the school, and the rest are boys. 

Therefore, the total number of boys in the school is w - x.", w - x,"There are w girls and x more girls than boys. 
There are w + x girls and w boys. 
There are w + x + w boys in that school. 
There are 2w + x boys in that school.","First, we know that there are a total of 697 + (228) = 925 students in the school. 

Since we know that there are 925 students, and we know that there are 697 girls, that means that there are 228 boys.",There are 469 boys in the school.,"There are x boys and y girls in a school. 

x + y = total number of students in the school

y = total number of girls in the school

697 = number of girls in the school

x = number of boys in the school

So we have the following system of two equations with two unknowns:

x + y = total number of students in the school

y = 697

Solve the system:

x + 697 = total number of students in the school

x = total number of students in the school - 697

x = total number of students in the school - y

Now we have an equation with one unknown:

x = total number of students in the school - 697

We know that there are 228 more girls than boys. So:

228 = y - x

y = x + 228

Now we have two equations with one unknown each. We can solve them:

x + y = total number of students in the school

x + x + 228 = total number of students in the school

2x + 228 = total number of students in the school",( w - x ),469,( 697.0 - 228.0 )
17,"There are w girls and x boys in the school. 
y more girls joined the school. 
That means there are w + y girls in the school. 
z more boys joined the school. 
That means there are x + z boys in the school. 

To find out how many students there are in total, we can add w + y + x + z. 
To find out how many girls there are in total, we can add w + y.",There are w + y girls and x + z boys in the school now.,"There are w girls and x boys in the school.
y more girls join the school.
Now there are w + y girls in the school.
z more boys join the school.
Now there are w + y girls and x + z boys in the school.

The number of girls in the school now is w + y.","There are originally 732 girls. 

Then, 682 more girls join the school. 

So, there are now 732 + 682 = 1,414 girls in the school.","There are 1,414 girls in the school now.","There are 732 girls and 761 boys in the school. 

Let's denote the number of girls after the joining by x. We know that:

x = 732 + 682 = 1414

Now we can use the information that 8 more boys joined the school. 

We know that the total number of students in the school is:

x + 761 + 8 = 1414 + 761 + 8 = 2183

Thus, we obtain:

2183 - 8 = 1414

Hence, there are 1414 girls in the school now.",( w + y ),1414,( 732.0 + 682.0 )
18,"First, Danny went to the park and found w bottle caps and x wrappers. 

Next, he brought them home and added them to his collection. 

That means that, before he went to the park, he had y-w bottle caps and z-x wrappers in his collection. 

We are trying to solve for x, so that means that z-x=z. 

Therefore, x=0.",Danny had x wrappers at first.,"We know:
w bottle caps and x wrappers at the park. Now he has y bottle caps and z wrappers in his collection.

We want to know:
How many wrappers did Danny have at first?

We don't know, but we can find out:
y = w + x
z = y - w

We also know that:
z = x - w

Now we have two equations and two unknowns. We can solve it:

y = w + x
z = y - w

x = w + z

Danny had x wrappers at first.","Danny has 22 bottle caps and 30 wrappers. 

He finds more bottle caps and wrappers, so now he has 17 bottle caps and 57 wrappers. 

To solve this problem, we want to find out how many wrappers Danny had at first. 

We can do this by starting with what we know and working backwards. 

We know that Danny has 57 wrappers now, and we know that he found 30 wrappers. 

So, we can subtract 30 from 57 to find out how many wrappers Danny had at first. 

57 - 30 = 27

Therefore, Danny had 27 wrappers at first.", 22 bottle caps and 30 wrappers.,"Danny's collection at the park:

$x$ bottle caps

$y$ wrappers

$x + y = 22 + 30 = 52$

Danny's collection now:

$x'$ bottle caps

$y'$ wrappers

$x' + y' = 17 + 57 = 74$

We need to find $y$

$x + y = x' + y'$

$y = y' - x' + x$

$y = 57 - 17 + 22 = 62$

Danny had 62 wrappers at first.",( z - x ),27,( 57.0 - 30.0 )
19,"Paul got a box of w erasers and x crayons for his birthday.

At the end of the school year he only had y crayons left while not having lost a single eraser.

How many more crayons than erasers did he have left?



We can set up an equation to solve this problem. 

x - y = more crayons than erasers

Paul had x crayons to start, and he lost y crayons, so he must have x - y crayons left.","There are y crayons and no erasers left, so Paul had more crayons than erasers.","Let's say that Paul had c crayons and e erasers at the beginning of the school year. Then:

c + e = w + x

c - y = e

y = c - e

Now we can solve for c and e:

c = (w + x + y)/2

e = (w + x - y)/2

Plugging in y = c - e yields:

c = (w + x + c - e)/2

2c = w + x + c

c = (w + x)/2

e = w/2 - x/2 + y/2

Now we can solve for y:

y = c - e

y = (w + x)/2 - w/2 + x/2 - y/2

y = 0

Therefore, y = 0, c = (w + x)/2, and e = (w + x)/2. So Paul had the same number of crayons and erasers left at the end of the school year.","First, let's determine how many crayons Paul started with. We know that he ended with 523 crayons, and we know that he lost no erasers, so we can set up the equation: 

 457 + x = 523

x = 523 - 457

x = 66

So Paul started with 457 erasers and 66 crayons. 

Now we need to determine how many crayons he had at the beginning of the school year. We know that he ended with 523 crayons and we know that he started with 66 crayons, so we can set up the equation: 

66 + x = 523

x = 523 - 66

x = 457

So Paul started with 457 crayons at the beginning of the school year. 

Now we need to determine how many erasers he had at the beginning of the school year. We know that he ended with 457 erasers and we know that he started with 457 erasers, so we can set up the equation: 

457 + x = 457

457 + 0 = 457

Therefore, Paul had 0 erasers at the beginning of the", At the end of the school year he had 94 more crayons than erasers.,"$E$ = number of erasers
$C$ = number of crayons
$e$ = number of erasers spent
$c$ = number of crayons spent

$E$ + $C$ = 1074 
$E$ - $e$ = 457 
$C$ - $c$ = 523 
$e$ + $c$ = 580

1074 = 457 + 523 
457 = 580 - 523 
523 = 580 - 457 

$C$ - $E$ = 66",( y - w ),66,( 523.0 - 457.0 )
