,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Answer
10,"The answer is A)$60.00. Tim spent $50 on lunch and 20% of $50 is $10, so Tim spent a total of $60.","If Tim had lunch at $50 and he gave 20% tip, he would have spent $60.","C)$60.60

If Tim had lunch at $50 and he gave 20% tip, he would have spent $60.",The answer is C)$60.60. Tim spent $50 on lunch and 20% of $50 is $10. $10 + $50 is $60.60.,"D) $21.56

$50 * 20% = $10

$50 + $10 = $60","The answer is C)$60.60. Tim spent $50 on lunch and 20% of $50 is $10. Therefore, Tim spent a total of $60 ($50 + $10) on lunch and the tip.",The answer is C)$60.60. Tim spent $50 on lunch and 20% of $50 is $10. So Tim spent a total of $60.60.,"The answer is C)$60.60. Tim spent $50 on lunch, and 20% of $50 is $10. Therefore, Tim spent a total of $60.60 on lunch and the tip.","The answer is C)$60.60. Tim spent $50 on lunch and 20% of $50 is $10. Therefore, Tim spent a total of $60 ($50 + $10) on lunch and the tip.","C)$60.60

The correct answer is C)$60.60. Tim spent $50 on lunch and 20% of $50 is $10, so he spent a total of $60.",A)A)$60.00
11,"The correct answer is B) Rs. 1025. 

This can be calculated by multiplying 825 by 1.04 (the 4% increase in interest) and then multiplying that result by 3 to account for the 3 years.",D) Data Inadequate,"A) Rs. 1020.80

The simple interest formula is I = Prt, where I is the interest, P is the principal, r is the interest rate, and t is the time in years.

In this case, we are given that I = 956 and t = 3, so we can solve for P:

956 = 825r(3)

956 = 2475r

r = 0.0388, or 3.88%.

If we increase the interest rate by 4%, the new interest rate will be 3.88% + 4% = 7.88%.

Plugging this into the simple interest formula, we get:

I = Prt

I = 825(0.0788)(3)

I = 1020.80","The new rate of interest will be 12% (8% + 4%).

The new amount after 3 years will be:

825 * (1.12)^3 = 1055","The answer is Rs. 1020.80.

This can be calculated by finding the amount of interest that would be accrued at the 4% rate and adding it to the original principal. The amount of interest would be:

0.04 * 825 * 3 = 99.60

Therefore, the total amount after three years would be:

825 + 99.60 = 924.60

The new amount after increasing the rate by 4% would be:

0.04 * 924.60 * 3 = 109.76

Therefore, the total amount after three years would be:

924.60 + 109.76 = 1034.36

Rounding this up to the nearest cent gives us Rs. 1020.80.","The answer is B) Rs. 1025. 

The reason is that when the rate of interest is increased by 4%, the new rate of interest will be 8% (the original rate plus the 4% increase). 

Therefore, using the formula for simple interest, I = Prt, where I is the interest, P is the principal, r is the rate, and t is the time in years, we get: 

I = 825(0.08)(3) = Rs. 20 

Therefore, the new amount after 3 years will be: 

825 + 20 = Rs. 845 

However, since we are dealing with compound interest, we need to use the formula: 

A = P(1 + r/n)nt

where A is the new amount, P is the principal, r is the rate, n is the number of times interest is compounded per year, and t is the time in years. 

In this case, n = 4, because interest is compounded quarterly. Therefore, the new amount will be: 

825(1 + 0.08/4)4(3) = Rs. 1025",The amount of Rs. 825 will become Rs. 1020.80 in 3 years if the rate of interest is increased by 4%.,"The answer is B) Rs. 1025. This is because when the rate of interest is increased by 4%, the new amount of interest would be 8.25*4%= Rs. 33. This added to the original amount of Rs. 825 would give the new total of Rs. 825+33= Rs. 1025.","The amount will become Rs. 1020.80.

This is because with the increased rate of interest, the amount of interest earned will be greater. The new amount will be:

825 + (825 * 0.04 * 3) = 1020.80",B) Rs. 1025,C)Rs. 1055
12,B)6,E)It Cannot Be Determined,"The remainder when p is divided by 10 is 0. This is because 4^q is a multiple of 10, and any multiple of 10 has a remainder of 0 when divided by 10.","The answer is D)0. When a number is a multiple of 2, the last digit will always be even. When a number is a multiple of 4, the last two digits will always be 00. Therefore, when p is divided by 10, the remainder will be 0.",The answer is D)0. This is because 4^q is always a multiple of 10 when q is a positive integer and a multiple of 2.,A)10,"The answer is D)0. This is because when an integer is divided by 10, the remainder will be the last digit of the integer. In this case, p = 4^q. The last digit of 4^q will always be a 0 because 4^q will end in 0,000.",The remainder when p is divided by 10 is 0. This is because 4^q is evenly divisible by 10 (it is a multiple of 10).,"The answer is D)0. This is because 4^q is evenly divisible by 10, so the remainder when divided by 10 is 0.",The remainder when p is divided by 10 is 0. This is because 4^q is divisible by 10 for any positive integer q.,B)6
13,E) n^2 + 2n + 1,"The answer is E) n^2 + 2n + 1. This is because if q is the square of a positive integer, then n^2 + 2n + 1 must also be a perfect square.","If q is the square of a positive integer, then n^2 + 2n + 1 must be equal to the square of the next positive integer.",D) q + 2√q + 1,E) n^2 + 2n + 1,E) n^2 + 2n + 1,B) n + 1,C)n^2 + 1,"If q is the square of a positive integer, n^2 + 2n + 1 must be equal to the square of the next positive integer.","If q is the square of a positive integer, then n^2 + 2n + 1 must be equal to the square of the next positive integer.",D)q + 2√q + 1
14,D) 552,"A) 300

Since the ratio of A to C is 1/7:1/14, we know that A is twice as much as C. Therefore, A is 300 more than C.","C)1120

A is 1/7 of Rs. 5600
C is 1/14 of Rs. 5600

1/7 > 1/14

A is more than C by Rs. 1120","A) 300

The ratio of A to C is 1/7:1/14, so A is twice as much as C. Therefore, A is 300 more than C.","C)1120

1/7 + 1/7 + 1/14 = 1/3 + 1/14 = 1/3 + 1/28 = 1/28 + 1/28 = 1/28 + 2/56 = 2/56 + 2/56 = 4/56

4/56 of Rs. 5600 is Rs. 1120","C) 1120

This can be solved by setting up a proportion. 

1/7 = x/5600

1/14 = (x-300)/5600

Cross multiply to solve for x. 

x = 1120",B) 992,"C)1120

1120 is more than 3 times 5600 divided by 14.","The answer is E)312.

If the ratio of A to C is 1/7:1/14, then the ratio of A to B is 1/7:1/7, or 1:1. This means that A and B are equal. Therefore, C is Rs. 5600 / 3 = Rs. 1120 less than A. A is therefore Rs. 1120 + Rs. 312 = Rs. 1432 more than C.","B) 992.

A:C is 1/14, so A:B is 1/7:1/7 or 1:1.  B is twice as much as C, so A is twice as much as C or 992.",C)1120
15,"D)4/2 

The answer is D)4/2 because when you plug in the numbers for a/b and 8a+5b, you get 16/8+20/4 which then cancels out to 4/2.","The answer is 3/2.

We are given that a/b=3/4 and 8a+5b=22. We can solve this system of equations by substitution.

We know that a/b=3/4, so a=3b/4. We can substitute this into our other equation:

8(3b/4)+5b=22

8(3b/4)+5b=22

24b/4+5b=22

24b/4+5b=22

29b/4=22

29b/4=22

29b/4*4/29=22*4/29

b=8

Now we can plug b=8 back into a=3b/4 to solve for a:

a=3(8)/4

a=3(8)/4

a=24/4

a=24/4

a=6

Therefore, the answer is 3/2.","A)1/2 
The answer is 1/2 because if you plug in 1/2 for a/b in the equation 8a+5b=22, you get 8(1/2)+5(1/2)=4+2.5=6.5, which is not equal to 22.","A)1/2 

The answer is 1/2 because if you divide both sides of the equation by 2, you are left with a/b=3/4.","The answer is D)4/2.

If a/b=3/4, then we can multiply both sides by 4 to get 4a/4b=3/4*4, or a/b=3.

If 8a+5b=22, then we can subtract 5b from both sides to get 8a=22-5b.

We can now plug this value for a into our equation for a/b to get:

4(22-5b)/4b=3

88-20b)/4b=3

We can now subtract 88 from both sides and divide by -20 to get:

-20b/-20=-88/-20

b=4","A)1/2

The answer is A)1/2.

We can solve this equation by multiplying both sides by 4 to clear the fraction on the left side. This gives us 32a + 20b = 88. Now we can subtract 20b from both sides to get 32a = 68. Finally, we can divide both sides by 32 to get a = 68/32. This can be simplified to a = 2.125, which is closer to A)1/2 than any of the other answer choices.","The answer is D)4/2.

We can solve this equation by plugging in the known values and solving for a. We know that a/b=3/4, so we can substitute 3a/4 for a in the equation 8a+5b=22. This gives us 8(3a/4)+5b=22. We can then simplify this equation to 6a+5b=22. Now we can solve for a by subtracting 5b from both sides, which gives us 6a=17. Finally, we can divide both sides by 6 to solve for a, and we get a=4/2.","A)1/2 
The given equation can be rewritten as 8(a/b)+5=22. Since a/b=3/4, we can plug this value in for a/b to get 8(3/4)+5=22. This equation can further be simplified to 6+5=22. Therefore, a=1/2.","A)1/2

The answer is 1/2 because if you multiply both sides of the equation by 2, you get 2(8a+5b)=2*22, or 16a+10b=44. This can be rewritten as 16a=44-10b, or a=(44-10b)/16. Plugging in the values for a/b and b, you get (44-10(3/4))/16, which simplifies to 1/2.","Given that a/b = 3/4, we can set up the equation 4a/4b = 3/4. We can then multiply both sides by 4 to get rid of the fractions. This gives us the equation 4a = 3b. 

We are also given that 8a + 5b = 22. We can subtract 5b from both sides to get 8a = 22 - 5b. 

Now that we have two equations, we can set them equal to each other and solve for a. 

4a = 3b
8a = 22 - 5b

12a = 22
a = 22/12
a = 11/6
a = 1 1/2",B)3/2
16,D)l/k,D)l/k,D)l/k,"A)k/l^2 B)k^2/l C)k^2/l^2 D)l/k E)√(k/l)

Given that k/l < 1, k/l^2 < 1, k^2/l < 1, and k^2/l^2 < 1. Therefore, l/k > 1.","E) √(k/l)

Because k/l < 1, we know that k < l. Therefore, l/k > 1 and √(k/l) > 1.","The answer is D)l/k. If k/l < 1, then 1/k > l/k, so l/k must be greater than 1.","The answer is D)l/k. If k/l < 1, then 1/l > 1/k, and thus l/k > 1.",D)l/k,D)l/k,C)k^2/l^2,D)l/k
17,C)40,C)40,C)40,C)40,C)40,C)40,"The answer is C)40.

The average score for the mock tests and the GMAT is 716.67. This means that the sum of the mock test scores and the GMAT score is 716.67 x 6 = 4,900.

The GMAT score is 760, so the sum of the mock test scores is 4,900 - 760 = 4,140.

The average score for the mock tests is 4,140 / 5 = 828.

The last mock test score is 828 - 10 = 818.","The difference in the score of his last mock and his GMAT score is 40. This is because his average score for the mocks and the GMAT was 716.67, and he scored 760 on the GMAT. Therefore, the difference between his score on the GMAT and his average score is 40.",C)40,"The difference in the score of Mike's last mock and his GMAT score is 32 points. This is because, on average, Mike scored 10 points more on each mock test than the previous mock test. Therefore, his last mock score would be 760 - 10 = 750. The difference between his last mock score and his GMAT score is 760 - 750 = 10.",B)32
18,C) 65. Adding 10 to each number would increase the sum of the numbers by 150. The average would increase by 10.,"The answer is E)64. This is because when you add 10 to each number, the sum of the numbers increases by 150. Since the average is calculated by taking the sum of the numbers and dividing by the number of numbers, adding 10 to each number increases the sum by 150 and the number of numbers by 15. So the average is calculated by taking the sum (which is now 650) and dividing by the number of numbers (which is now 30), resulting in an average of 21.6.",The average of 15 numbers is 40. If 10 is added to each number then the average of the numbers is 50.,The average of 15 numbers is 40. If 10 is added to each number then the mean of number is 50.,"The average of 15 numbers is 40. If 10 is added to each number, then the mean of the numbers is 50.","B) 45

The mean is the average of a set of numbers. If 10 is added to each number, the sum of the set will be increased by 10*15=150. The average will be increased by 150/15=10. The new mean will be 40+10=50.","The average of 15 numbers is 40. If 10 is added to each number, then the sum of the numbers is 600. The average of the numbers is then 600/15, which is 40.","The answer is E)64. This is because when you add 10 to each number, the sum of the numbers increases by 150. Since the average is calculated by taking the sum of the numbers and dividing by the number of numbers, and the sum has increased by 150, the average must have increased by 150/15, or 10. Therefore, the new average is 40 + 10, or 50.","The answer is E)64. This is because when you add 10 to each number, the sum of the numbers increases by 150. The mean is calculated by taking the sum of the numbers and dividing by the number of numbers. Therefore, the new mean is (15*40+150)/15, which is equal to 64.","The mean of the numbers would be 50. This is because when you add 10 to each number, you are essentially adding 10 to the mean, which would be 40. So the new mean would be 40 + 10, which is 50.",A)50
19,A person traveling at 20 km/hr will cover a distance of 50 km in 2.5 hrs.,"The distance is 50 km. The person traveled at a constant speed of 20 km/hr, so they would have traveled for 2.5 hours.","C) 52 km 

The person traveled at a rate of 20 km/hr for 2.5 hrs. To find the distance, we multiply the rate (20 km/hr) by the time (2.5 hrs). 20 km/hr * 2.5 hrs = 52 km.","The answer is C)52 km. The person traveled at a constant speed of 20 km/hr for 2.5 hr, so they traveled a total distance of 52 km.","The answer is C) 52 km. 

The person traveled at a rate of 20 km/hr for 2.5 hours, so they traveled a total of 50 km.","The correct answer is E) 50 km. 

The reason is that the person's speed is 20 km/hr, so in 2.5 hours, they would have traveled 50 km.","The correct answer is D)60 km. The person has traveled at a rate of 20 km/hr for 2.5 hrs, so they have traveled a total distance of 50 km.","C) 52 km 

Since the person traveled for 2.5 hours at a rate of 20 km/hr, they must have traveled a total of 52 km.","C) 52 km 

20 km/hr * 2.5 hr = 50 km","The person traveled a distance of 50 km in 2.5 hours, so the answer is E.",E)50 km
20,"The answer is B)26.

This is because the common difference between each number is 6. So, the next number in the sequence would be 16.","The answer is B)26.

This is because the difference between each number in the sequence is 6. Therefore, the next number in the sequence would be 16 + 6, or 22.","The answer is B)26.

The pattern in this sequence is that the next number is double the previous number plus 6. Therefore, to find the value of x, we double 4 (the first number) and add 6, which gives us 16. We then double 10 (the second number) and add 6, which gives us 26. Therefore, x=26.","The correct answer is C)30.

This is because the sequence appears to be increasing by a factor of 2.4 each time. So, the next number in the sequence would be 30.","The answer is B)26.

The first five numbers in a regular sequence are 4, 10, X, 46, and 94. The next number in the sequence would be 26.",C) 30,"The answer is C) 30.

The first five numbers in a regular sequence are 4, 10, X, 46, and 94. This sequence appears to be following a pattern of adding 6 each time. So, the next number in the sequence would be 94 + 6, or 100.","The answer is B) 26. This is because the sequence is in order of 4, 10, 26, 46, 94. The next logical number would be 30, however that is not one of the answer choices.","The answer is B)26. This is because the sequence is in order of increasing two times the previous number. So, the next number would be 2 times 10, which is 20. The number after that would be 2 times 20, which is 40. Therefore, X is 26.","The answer is C)30. This is a regular arithmetic sequence, which means that the difference between each number is the same. The difference between 4 and 10 is 6, so the difference between 10 and X must also be 6. 30 is the only answer that fits this description.",D)22
21,There are a total of 8 bags of cement.,There are a total of 12 bags of cement.,There are a total of 9 bags of cement.,"C)6 

There are a total of 350/100 + 350/50 + 350/25 = 7 bags of cement. Tim has an equal number of each size bag, so he has 7/3 = 2.33... ≈ 2.3 ≈ 2 bags of each size for a total of 6 bags of cement.",There are a total of 8 bags of cement.,"There are 350 pounds of cement in 100, 50, and 25 pound bags. He has an equal number of each size bag. Tim has 3 bags of cement.","There are a total of 9 bags of cement. 3 of the bags are 100 pounds, 3 of the bags are 50 pounds, and 3 of the bags are 25 pounds.","C)6

There are a total of 350 pounds of cement. In 100 pound bags, this would be 3.5 bags. In 50 pound bags, this would be 7 bags. In 25 pound bags, this would be 14 bags. 3.5 + 7 + 14 = 24.5. Since Tim has an equal number of each size bag, he would have to have 6 bags of each size.","C)6

There are 6 bags in total.",C) 6,C)6
22,"The least value of x, so that 2x5475 is divisible by 9 is 4. This is because 4 is the smallest number that 2x5475 is divisible by.","The least value of x is 3, because 3 is the smallest integer that is divisible by 9. 2x5475 is divisible by 9 when x is 3.",The least value of x is 3. 2x5475 is divisible by 9 when x is 3 because 3 times 9 is 27 and 27 goes into 5475 exactly 202 times.,"The least value of x is 3, because 2x5475 is divisible by 9 when x is 3.","The least value of x, so that 2x5475 is divisible by 9, is 3. This is because the least possible value for x is 3, and when 3 is multiplied by 2, the resulting number is 6, which is divisible by 9.","The least value of x so that 2x5475 is divisible by 9 is 3. This is because the smallest number that is divisible by 9 is 9, and 3 is the smallest number that when multiplied by 2 gives 9.","D) 3, because the sum of the digits must be a multiple of 9.",E)2,D) 3,"C)4 The least value of x, so that 2x5475 is divisible by 9 is 4. 2(4)5475 = 45475 and 45475 is divisible by 9.",C)4
23,C)9√ 2π,C) 9√2π,The circumference of Q is 8√2π. The perimeter of P is the sum of the lengths of the four sides of P. The length of each side of P is the diameter of Q divided by 2. The diameter of Q is the circumference of Q divided by 2π. The circumference of Q is 8√2π.,C)9√ 2π,"The perimeter of P is equal to the circumference of Q. Therefore, the circumference of Q is 40.","A) 11√ 2π, because the perimeter of a square is four times the length of one side, and the circumference of a circle is 2π times the radius.",A)11√ 2π,A) 11√2π,"D) 8√ 2π

Since the perimeter of P is 40, and P is inscribed in circle Q, the circumference of Q must be greater than or equal to 40. The answer must be D) 8√ 2π.",A) 11√2π,B)10√ 2π
24,C) 9 months,C) 9 months,"It will take 10 months to fully repay the loan. The debtor will make monthly payments of $200, $400, $600, $800, $1,000, $1,200, $1,400, $1,600, and $2,000. The total amount paid will be $10,200, which will cover the full loan amount of $10,000.","B)10

The debtor's first payment was $200 and the creditor is expecting a total of $51200, so the debtor will need to make 10 monthly payments to fully repay the loan.","The answer is D)12. The debtor will make monthly payments which are double of the amount she paid the previous month. The first payment was $200, so the second payment will be $400, the third payment will be $800, the fourth payment will be $1600, and so on. The debtor will make 12 monthly payments before the loan is fully repaid.","The answer is E)10. It will take 10 months to fully repay the loan. The debtor will pay $200 the first month, $400 the second month, $800 the third month, and so on.","If the debtor's first payment was $200, and he is expected to pay back $51200, it will take him 10 months to fully repay the loan.",B) 10 months,"It would take 10 months to fully repay the loan. The debtor would pay $200 the first month, $400 the second month, $800 the third month, and so forth.","The debtor will take 10 months to repay the loan. The debtor will pay $200 the first month, $400 the second month, $800 the third month, and so on. The debtor will pay a total of $10,400 in 10 months.",A)9
25,D) II only,D) II only,"C) II and III only. If James earned more than twice as much this week as he did last week, then he must have sold more than twice as many bicycles. Therefore, y>2x, which implies that y>x. In addition, if he earned more than twice as much, then he must have earned at least $60. Since his salary is $30 per week plus commission, he must have sold at least 3 bicycles this week in order to earn at least $60. Therefore, y>3.","The answer is D) II only.

To earn more than twice as much as he did last week, James must have sold more than twice as many bicycles this week as he did last week. This means that y>2x. However, we cannot say for sure that y>x or y>3, so statements I and III cannot be true.","C) II and III only. We know that James earned more than twice as much as he did last week, so his salary this week must be more than 2(30 + 6x) = 60 + 12x. Also, since he earns $6 per bicycle for the first 6 bicycles he sells, $12 per bicycle for the next 6 bicycles he sells, and $18 per bicycle for every bicycle sold after first 12, he must have sold at least 12 bicycles this week. 12*18 > 60 + 12x, so y > 3.","The answer is D) II only.

This is because, as stated in the question, James earns a fixed salary of $30 per week plus $6 per bicycle for the first 6 bicycles he sells, $12 per bicycle for the next 6 bicycles he sells, and $18 per bicycle for every bicycle sold after first 12. So, if he sold x bicycles last week and y bicycles this week, then we can say that:

Last week: 30 + 6x
This week: 30 + 6y + 12(y-x)

Since we know that he earned more than twice as much as he did last week, we can set up the following equation:

2(30 + 6x) < 30 + 6y + 12(y-x)

After solving this equation, we get:

y > 3x

Since we know that y must be greater than x (since he sold more bicycles this week than last week), we can eliminate answers A, B, and C. This leaves us with answer D) II only.",D) II only,"If James earned more than twice as much this week as he did last week, then his earnings this week must be greater than 2*$30, or $60. This can be represented as y*($6+$12+$18) > 2*$30, or y > 2.5. Thus, statement II is true and statement I is false. Statement III is true because if y > 2.5, then y > 3.",D) II only,"The answer is D) II only.

If James earned more than twice as much this week as he did last week, then his earnings this week must be greater than 2*(30+6x), where x is the number of bicycles he sold last week. This means that y, the number of bicycles he sold this week, must be greater than 2x. Statement II is therefore true.

However, we cannot say for certain whether statements I or III are true. It is possible that James sold fewer than 2x bicycles last week but still earned more than twice as much, if he sold a very large number of bicycles this week. It is also possible that James sold more than 3x bicycles this week, if he sold relatively few bicycles last week. Therefore, statements I and III could be either true or false.","C)II,III only"
26,The current ratio of students per class is 6.,"The current ratio is Q=6. If the ratio were to be increased by 1, 10 fewer classes would be run for a total of 120 students.",The current ratio Q of students per class is 12.,"C) The current ratio is 6 students per class. If the ratio were increased by 1, there would be 5 students per class and 10 fewer classes.","The current ratio of students per class is Q=4. If the ratio of students per class were to be increased by 1, 10 fewer classes would be run for a total of 120 students.",The current ratio of students per class is 6.,"The current ratio of students per class is 12. If the ratio of students per class were increased by 1, 10 fewer classes would be run for a total of 120 students. Therefore, the new ratio of students per class would be 11.",The current ratio of students per class is 6.,"The answer is C) 6. If the ratio of students per class were increased by 1, that would mean there would be 6 students per class instead of the current 5 students per class. 10 fewer classes would be run for a total of 120 students, which means there would be a total of 20 classes. 20 classes with 6 students per class equals 120 students.","The answer is C) 6. If the ratio of students per class were to be increased by 1, 10 fewer classes would be run for a total of 120 students. This means that the current ratio is 6.",A)Q=3
27,"Given:

Average income of company's customers = $45,000

Number of customers surveyed = 50

Average income of wealthiest 10 customers = $95,000

We are trying to find the average income of the other 40 customers.

We can set up a weighted average equation as follows:

(Average income of all customers) * (Total number of customers) = (Average income of wealthiest 10 customers) * (Number of wealthiest 10 customers)

45,000 * 50 = 95,000 * 10

2,250,000 = 950,000

Therefore, the average income of the other 40 customers is $32,500.","C) $37,500

The average income of the other 40 customers is the weighted average of the incomes of all 50 customers, with the weights being inversely proportional to the number of customers in each income group. The average income of the 40 customers not in the wealthiest 10 is:

((10*95,000) + (40*45,000)) / 50

=(950,000 + 1,800,000) / 50

=$37,500","A) $32,500

The wealthiest 10 customers have an average income of $95,000, so the other 40 customers must have an average income of $32,500 in order to balance out the survey results.","C) $37,500

We can calculate this by finding the weighted average of the incomes of the two groups. The average income of the 10 wealthiest customers is $95,000, and the average income of the other 40 customers is $45,000. The weighted average is:

(10 * $95,000 + 40 * $45,000) / 50

= $37,500","C) $37 500 

The weighted average of the 10 wealthiest customers is $95,000, and the average income of all 50 customers is $45,000. The weighted average of the 40 other customers must be the average income of all 50 customers minus the weighted average of the 10 wealthiest customers, or $45,000 - $95,000 = $37,500.","C) $37 500

The average income of the other 40 customers is $37,500. This can be calculated by taking the average income of the 50 customers ($45,000) and subtracting the average income of the wealthiest 10 customers ($95,000).","A) $32 500

The average income of the company's customers is $45,000 per year. The average income of the wealthiest 10 customers is $95,000. The average income of the other 40 customers is $32,500.","A) $32,500

The average income of the other 40 customers is $32,500. This can be calculated by taking the average income of the 50 customers ($45,000) and subtracting the average income of the 10 wealthiest customers ($95,000).","The answer is D) $42,500.

To solve this, we can first find the total income of all 50 customers by multiplying the average income ($45,000) by the number of customers (50). This gives us a total income of $2,250,000.

We can then find the total income of the wealthiest 10 customers by multiplying the average income of the wealthiest 10 customers ($95,000) by 10. This gives us a total income of $950,000.

To find the average income of the other 40 customers, we can take the total income of all 50 customers and subtract the total income of the wealthiest 10 customers. This gives us a total income of $1,300,000. We can then divide this by the number of customers (40) to get an average income of $42,500.","C) $37,500

To solve this, we can first calculate the average income of the 50 customers who responded to the survey. We know that the average income of the 10 wealthiest customers is $95,000, so we can subtract that from the total income of all 50 customers to get the income of the other 40 customers. This gives us:

(50 * $45,000) - (10 * $95,000) = $2,250,000 - $950,000 = $1,300,000

Finally, we can divide this by the number of customers to get the average income of the other 40 customers, which is $37,500.","A) $32,500"
28,"D) 1500. The formula for the curved surface area of a cone is A = pi * r * s, where r is the radius of the base and s is the slant height. In this case, r = 14 and s = 35, so A = pi * 14 * 35 = 1500.","B)1780 The curved surface area of a cone is equal to pi*r*s, where r is the radius of the base and s is the slant height. In this case, r=14 and s=35, so pi*14*35=1780.","The slant height of a cone is 35 cm and radius of the base is 14cm, find the curved surface of the cone. A)4150 B)1780 C)1540 D)1500 E)6100

C) 1540",A) 4150,C) 1540 cm,"The slant height of a cone is 35 cm and radius of the base is 14cm, find the curved surface of the cone.

A) 4150

B) 1780

C) 1540

D) 1500

E) 6100

C) 1540","The formula for the curved surface area of a cone is S = πrl. The slant height (l) is 35 cm and the radius (r) is 14 cm, so S = πrl = π * 14 * 35 = 1540 cm.","The curved surface of a cone is given by the equation S=πrl, where r is the radius of the base and l is the slant height. In this equation, r=14 cm and l=35 cm, so S=π(14)(35)=4150 cm.","The slant height of a cone is 35 cm and radius of the base is 14cm, find the curved surface of the cone. 

C) 1540 

The curved surface area of a cone can be found using the formula: 

SA = πrs

Where: 

r = radius of the base 
s = slant height 

Plugging in the given values, we get: 

SA = π(14)(35) 
SA = 1540","A) 4150

The slant height of a cone is the distance between the vertex and the base. The radius of the base is the distance from the center of the base to the edge of the base. The curved surface area of the cone is the area of the base multiplied by the slant height. In this problem, the slant height is 35 cm and the radius of the base is 14 cm, so the curved surface area of the cone is 4150 cm².",C)1540
29,"C)4 The volume of a rectangular prism is l*w*h. In this case, the small block has half the width, half the depth, and half the length, so the volume would be 1/2*1/2*1/2=1/8. Since the volume of a normal block is 8 cubic feet, 1/8 of that would be 4 cubic feet.","The volume of a rectangular block is length x width x depth. So, if we halve the length, width, and depth, the new volume will be 1/2 x 1/2 x 1/2, or 1/8 of the original volume. Therefore, the volume of cheese in a small block is 1 cubic foot.",C) 4,C) 4,"The volume of cheese in a small block is 4 cubic feet. This is because when the dimensions are halved, the volume is also halved.","The volume of a rectangular block is calculated by the formula V=l*w*h. If we cut the dimensions of the block in half, the new formula would be V=(l/2)*(w/2)*(h/2). This would result in the volume being cut in half as well, so the volume of cheese in a small block is 4 cubic feet.","The volume of a rectangular block is calculated by the formula V=l*w*h, where l is the length, w is the width, and h is the height. If we plug in the values given for a normal block, we get V=8. If we plug in the values for a small block, we get V=2.",C) 4,"The volume of a rectangular block is found by multiplying the length, width, and depth. So, a normal block has a volume of 8 cubic feet, which is equivalent to 2 cubic feet per dimension. A small block has half the length, width, and depth of a normal block, so it has a volume of 1 cubic foot per dimension. Therefore, the volume of cheese in a small block is 1 cubic foot.","The volume of a rectangular block is length x width x depth. So, if we take a normal block that has a volume of 8 cubic feet, and halve its length, width, and depth, the new block will have a volume of 1 cubic foot.",A)1
30,"There are 148 feet in the road, and each tree takes up one foot. There are to be 20 feet between each tree, which means that 9 trees can be planted.",The answer is C)10. This is because 20 feet multiplied by 10 equals 148 feet.,C)10,"There are 148 feet in the road, so if there are 20 feet between each tree, that means there are 128 feet for the trees. If each tree takes up one square foot, that means there are 128 square feet for the trees. There are 8 trees.","There are 148 feet in the road, and each tree takes up one square foot, so there can be a maximum of 148 trees. However, there must be 20 feet between each tree, so there can only be 128 trees.","C)10 trees can be planted if the road is 148 feet long. This is because each tree takes up one square foot of sidewalk space, and there are to be 20 feet between each tree. Therefore, 10 trees can be planted if the road is 148 feet long.","There are 148 feet in the road, and each tree needs one foot of space. There are also 20 feet between each tree, so that means that for each tree there are 21 feet of space used. 148/21 = 7, so there can be 7 trees planted.",The answer is C)10. This is because 20 feet multiplied by 10 equals 148 feet.,"The answer is D)11. There will be 20 feet between each tree, which means that 10 trees can fit on the 148 foot long road. There is one extra foot, so one more tree can be planted.","There are 148 feet in the road and each tree takes up one square foot. There are 20 feet in between each tree, which means that there are 18 feet in between each pair of trees. This means that there are 9 pairs of trees that can be planted.",A)8
31,"The difference between simple and compound interest on 2000 after three years at the rate of 10 percent per annum will be 42. This is because compound interest is calculated on the principal plus interest from previous periods, while simple interest is only calculated on the principal.",C)62 The difference in simple and compound interest on 2000 after three years at the rate of 10 percent per annum is 62.,"The answer is C) 62. 

The difference between simple and compound interest can be found by subtracting the value of compound interest from the value of simple interest. 

The value of simple interest would be 2000*0.1*3 = 600. 

The value of compound interest would be 2000*(1+0.1)^3 - 2000 = 2000*1.331 - 2000 = 2662. 

The difference between the two values would be 2662 - 600 = 62.","The difference in simple and compound interest on 2000 after three years at the rate of 10 percent per annum is 160. This is because compound interest is calculated on the principal plus any accrued interest, while simple interest is calculated only on the principal.",C) 62,"The difference in simple and compound interest on 2000 after three years at the rate of 10 percent per annum will be 62. 

This is because compound interest is calculated on the principal plus any accumulated interest from previous periods, while simple interest is calculated only on the principal.",C) 62,"The difference in simple and compound interest on 2000 after three years at the rate of 10 percent per annum will be 160. This is because, with simple interest, you would multiply 2000 by 10% to get 200, and then multiply that by 3 to get 600. With compound interest, you would take 2000 and multiply it by 1.1 (10% increase), and then multiply that result by 1.1 again, and then multiply that result by 1.1 again. This would give you a total of 2660. So, the difference would be 2660-600, or 160.",C) 62,"The difference in simple and compound interest on 2000 after three years at the rate of 10 percent per annum is 160. This is because with compound interest, the interest is added to the principle each year, so the interest earned in the second and third years is 10% of 2100 and 10% of 2200, respectively. With simple interest, the interest is only earned on the principle, so the interest earned in the second and third years is 10% of 2000.",C)62
