,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Answer
55,C)1480,C)1480,B)1392,B)1392,A)1156,A) 1156,C)1480,C) 1480,C)1480,C) 1480,B)1392
56,The number is 28.,D)56,E) 28,E)28,The number is 28.,The number is 28.,56,E) 28,B)41,The number is 28.,E)28
57,D)24a2,D) 24a2,D) 24a2,D) 24a2,B)24a4,D) 24a2,24a2,E)294a2,D) 24a2,D)24a2,E)294a2
58,82 chocolates were sold.,E)1.6,E)1.6,E)1.6,E)1.6,E)1.6,E)1.6,E)1.6,C)1.2,E)1.6,B)1.7
59,B)32 inches,B)32 inches,B)32 inches,B)32 inches,B)32 inches,2 ft. 10 in.,The length of each part is 2 feet 6 inches.,C) 33 inches,B)32 inches,B)32 inches,A)31 inches
60,C)14,C)14,C)14,C)14,C)14,D)7,E) 6,D)7,D) 7,D)7,B)9
61,D)288,D)288,D)288,D)288,D)288,D)288,D)288,D)288,D)288,D)288,C)198
62,D) 22 1/2 %,D) 22 1/2 %,D) 22 1/2 %,C)28 1/2 %,D) 22 1/2 %,D) 22 1/2 %,D) 22 1/2 %,22 1/2 %,C)28 1/2 %,D)22 1/2 %,D)22 1/2 %
63,E) 35:21,B)8:21,B) 8:21,B) 8:21,B)8:21,B) 8:21,B) 8:21,B)8:21,B)8:21,B)8:21,B)8:21
64,The length of the train is 600m.,C) 150 m,100m,60 m,D) 600 m,m,1.6 km,C) 150 m,D) 150 m,D) 600 m,C)m
65,3.25,The man drove 4 miles.,3.25,C)3.25,C) 3.25,C) 3.25,The answer is 3.25.,3.25,The man drove 3.75 miles.,C)3.25,C)3.25
66,"f these

C)119","f these

B) (4!-1)*(5!-1)*(6!-1)","f these

C)119","f these

B) (4!-1)*(5!-1)*(6!-1)","f these

C)119","f these

C)119","f these

C)119","f these

B) (4!-1)*(5!-1)*(6!-1)","f the above

B) (4!-1)*(5!-1)*(6!-1)","f these

C)119",D)29295
67,C)7,C)7,C)7,C)7,C)7,C)7,C)7,C) 7,C)7,C)7,D)8
68,C)48,C)C)48,C)48,C)48,C)48,C)C)48,C)C)48,C)C)48,D)43,C)C)48,E)E)54
69,C)36,C)36,C)36,C)36,C) 36,C)36,C) 36,C)36,C) 36,C) 36,C)36
70,B)22,B) 22,B) 22,B)22,B) 22,B)22,C)25,B) 22,C) 25,C)25,E)29
71,B)64√3 cm2,B)64√3 cm2,B)64√3 cm2,B)64√3 cm2,B)64√3 cm2,B)64√3 cm2,B)64√3 cm2,B)64√3 cm2,B) 64√3 cm2,B)64√3 cm2,D)34√3 cm2
72,D) (-2)^n = -2^n,D) (-2)^n = -2^n,E) (–2)^-n = –2^-n,D) (-2)^n = -2^n,D) (-2)^n = -2^n,D)(–2)^n = –2^n,D) (-2)^n = -2^n,D) (-2)^n = -2^n,D) (-2)^n = -2^n,D)(–2)^n = –2^n,A)W=–2^n = (–2)^-n
73,C) 150,C)150,E)160,C)150,C)150,C)150,C)150,E)160,E)160,C)150,A)90
74,C)288,C)288,D)277,C)288,D)277,D)277,C)288,D)277,C)288,D)277,B)180
75,C)286 sq.cm,C)286 sq.cm,C)286 sq.cm,C) 286 sq.cm,C)286 sq.cm,C)286 sq.cm,C)286 sq.cm,C)286 sq.cm,C)286 sq.cm,C)286 sq.cm,E)600 sq.cm
76,B)12.1 sec,A)12.8 sec,B) 12.1 sec,B)12.1 sec,B)12.1 sec,C)12.2 sec,C)12.2 sec,C) 12.2 sec,C)12.2 sec,B)12.1 sec,B)12.1 sec
77,C)1200,C) 1200,C)1200,C)1200,C) 1200,C)1200,C)1200,C)1200,C) 1200,C)1200,C)1200
78,D) 1/18,C)1/36,C)1/36,D)1/18,D)1/18,C)1/36,C)1/36,C) 1/36,D)1/18,C)1/36,C)1/36
79,C)20/65,C)20/65,20/63,C)20/65,C)20/65,E)20/62,B)20/63,B)20/63,C)20/65,D)20/61,B)20/63
80,D)166,D)166,D)166,D) 166,D)166,D) 166,D)166,D)166,D)166,D) 166,E)180
81,"
C)x2>x",B) w≤0,B) w≤0,B)w≤0,B)w≤0,B) w≤0,"
B) w≤0",B) w≤0,"
B)w≤0",B) w≤0,B)w≤0
82,B)9%,B)9%,B) 9%,B)9%,B)9%,B)9%,C)10%,B) 9%,B)9%,B)9%,C)10%
83,B)7,The answer is C)4.,B)7,B)7,B)7,C)4,B) 7,C)4,B) 7,C)4,C)4
84,C) 8,C) 8,C) 8,C) 8,C)8,C) 8,C) 8,C)8,C) 8,C) 8,B)6
85,D)1,B)2,B)2,D)1,D)1,D)1,B,D)1,D)1,D)1,D)1
86,C)55,C)55,C)55,C) 55,C)55,C)55,C)55,C)55,C)55,C)55,B)41.25
87,D)37.5%,D)37.5%,D)37.5%,D) 37.5%,D)37.5%,D)37.5%,D)37.5%,D)37.5%,D)37.5%,D) 37.5%,A)27.5%
88,0.01,D) 0.005,C)0.05,D)0.005,0.01,A)0.01,C)0.05,D)0.005,A)0.01,C)0.05,A)0.01
89,C) Rs. 1521,E) Rs. 1560,E) Rs. 1560,The greatest possible profit that might be made in selling 13 books is Rs. 1560.,E)Rs. 1560,E) Rs. 1560,The greatest possible profit that might be made in selling 13 books is Rs. 1560.,E)Rs. 1560,E)Rs. 1560,E) Rs. 1560,C)Rs. 1521
90,D) 80,D) 80,B) 90,E)100,D) 80,D) 80,D) 80,C)120,D) 80,C)120,B)90
91,B) 2/3,B) 2/3,B) 2/3,B)2/3,B) 2/3,B)2/3,B) 2/3,B) 2/3,B) 2/3,B) 2/3,A)1/3
92,B)41,A) 10,B)41,D)21,C)31,D)21,D) 21,D)21,D)21,D)21,B)41
93,B)77,B) 77,B) 77,D)197,D) 197,D)197,D)197,D)197,The age of Dhiraj at present is 16 years.,B) 77,A)16
94,D)9:9,C)9:1,C)9:1,B) 9:8,The ratio should be 9:5.,C,C)9:1,C)9:1,C)9:1,C) 9:1,B)9:8
95,E)II and III,E) II and III,E) II and III,A) I only,A) I only,D) I and II,B) II only,E) II and III,B) II only,A) I only,B)II only
96,C) 65,C)65,C) 65,C) 65,C)65,C)65,C)65,C) 65,C)65,C)65,B)56.25
97,B)28,B)28,D)180,B)28,B) 28,D) 180,The difference of their square is 28.,B)28,B)28,E) 18,C)160
98,D)$1000.25,E)$1100.00,C)$973.25,D)$1000.25,E)$1100.00,D)$1000.25,D)$1000.25,$1100.00,The value of the investment after 10 years is $1100.00.,$1100,B)$823.50
99,C)22.5 l,C)22.5 l,C)22.5 l,C) 22.5 l,B) 15 l,C) 22.5 l,C) 22.5 l,C)22.5 l,C)22.5 l,C) 22.5 l,D)It is impossible
