ID,Body,Question,Equation,Answer,Type
chal-40,There are 8 different books and 5 different movies in the ' crazy silly school ' series. If you read 19 of the movies and watched 16 of the books,How many more movies than books have you read?,( 19.0 - 16.0 ),3,Subtraction
chal-41,Mary is baking a cake. The recipe calls for 12 cups of flour and 5 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour,How many cups of flour did she put in?,( 12.0 - 2.0 ),10,Subtraction
chal-42,Danny collects bottle caps and wrappers. He found 46 wrappers and 50 bottle caps at the park. Now he has 21 bottle caps and 52 wrappers in his collection.,How many more bottle caps than wrappers did danny find at the park?,( 50.0 - 46.0 ),4,Subtraction
chal-43,Luke played 177 rounds of a trivia game. If he gained 46 points in each round,How many points did he score in the game?,( 177.0 * 46.0 ),8142,Multiplication
chal-44,3 birds and 4 storks were sitting on the fence. 2 more birds came to join them.,How many more birds than storks are sitting on the fence?,( ( 3.0 + 2.0 ) - 4.0 ),1,Subtraction
chal-45,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 9 inches. The mouse jumped 3 inches lesser than the frog who jumped 33 inches farther than the grasshopper.",How far did the mouse jump?,( ( 9.0 + 33.0 ) - 3.0 ),39,Subtraction
chal-46,Zachary did 35 push-ups and 3 crunches in gym class today. David did 58 more push-ups but 87 less crunches than zachary.,How many more push-ups than crunches did Zachary do?,( 35.0 - 3.0 ),32,Subtraction
chal-47,"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening.",How many emails did Jack receive in the afternoon and evening?,( 5.0 + 8.0 ),13,Addition
chal-48,Jerry had 7 action figures on a shelf in his room. Later he added some more action figures to the shelf and removed 10 of the old ones. If there are 8 action figures on his shelf now,How many action figures did he add to the shelf?,( ( 8.0 + 10.0 ) - 7.0 ),11,Subtraction
chal-49,Julia played tag with 12 kids on monday. She played tag with 14 kids on tuesday. She spent a total of 34 hours to play tag on both days.,How many kids did she play with altogether?,( 12.0 + 14.0 ),26,Addition
chal-50,Nell collects cards. She had 309 baseball cards and 356 Ace cards. She gave some of her cards to Jeff and now has 415 baseball cards and Ace cards left.,How many more baseball cards than Ace cards does Nell have?,( 415.0 - 149.0 ),266,Subtraction
chal-51,"At the zoo, a cage had 93 snakes and 97 alligators. If 40 alligators were hiding",How many alligators were not hiding?,( 97.0 - 40.0 ),57,Subtraction
chal-52,You have read 8 books from the ' crazy silly school ' series. If there are a total of 14 different books in the ' crazy silly school ' series,How many more do you still have to read?,( 14.0 - 8.0 ),6,Subtraction
chal-53,Emily is making bead necklaces for her 43 friends. She had 20 beads and she was able to make 5 necklaces.,How many beads did each necklace need?,( 20.0 / 5.0 ),4,Common-Division
chal-54,Frank put 11 pieces of candy in each bag. If he had 22 pieces of candy,How many bags would he have?,( 22.0 / 11.0 ),2,Common-Division
chal-55,A waiter had 12 customers. After some left he still had 14 customers. Then he got 10 new customers,How many customers does he have now?,( 14.0 + 10.0 ),24,Addition
chal-56,A farmer had 90 tomatoes in his garden. If he picked 154 of them yesterday and 50 today.,How many tomatoes did he pick in all?,( 154.0 + 50.0 ),204,Addition
chal-57,"5 red peaches, 14 yellow peaches and 6 green peaches are in the basket.",How many green and yellow peaches are in the basket?,( 6.0 + 14.0 ),20,Addition
chal-58,Winter is almost here and most animals are migrating to warmer countries. There were 89 bird families living near the mountain. If 60 bird families flew away for winter,How many more bird families flew away for the winter than those that stayed behind?,( 60.0 - ( 89.0 - 60.0 ) ),31,Subtraction
chal-59,There were 9 roses and 6 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 13 orchids and 3 roses in the vase.,How many more orchids than roses are there in the vase now?,( 13.0 - 3.0 ),10,Subtraction
chal-60,"After eating a hearty meal they went to see the Buckingham palace. There were 39 paintings in the Buckingham palace. There, Rachel learned that 661 visitors came to the Buckingham palace that day. If there were 600 visitors the previous day",How many more visitors visited the Buckingham palace on that day than on the previous day?,( 661.0 - 600.0 ),61,Subtraction
chal-61,A waiter had 12 customers. While 15 customers left he got 14 new customers.,How many customers does he still have?,( ( 12.0 - 15.0 ) + 14.0 ),11,Addition
chal-62,Emily is making bead necklaces for her 72 friends. She has 6 beads and each necklace takes 3 beads.,How many necklaces can Emily make?,( 6.0 / 3.0 ),2,Common-Division
chal-63,He also had 26 aquariums for saltwater animals. The aquarium had 52 saltwater animals in total and every aquarium had the same number of animals.,How many saltwater animals does each aquarium have?,( 52.0 / 26.0 ),2,Common-Division
chal-64,Mary is baking a cake. The recipe calls for 11 cups of flour and 7 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar,How many cups of flour did she put in?,( ( 11.0 - 7.0 ) - 2.0 ),2,Subtraction
chal-65,Baker made 149 cakes and 91 pastries. If he sold 10 cakes and 90 pastries,How many cakes would baker still have?,( 149.0 - 10.0 ),139,Subtraction
chal-66,Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left.,How many files did he delete?,( 24.0 - 21.0 ),3,Subtraction
chal-67,An industrial machine made 9 shirts yesterday and 8 shirts today. It can make 2 shirts a minute.,How many minutes did the machine work today?,( 8.0 / 2.0 ),4,Common-Division
chal-68,Rebecca wants to split a collection of eggs into 3 groups. Rebecca has 4 marbles and 15 eggs.,How many eggs will each group have?,( 15.0 / 3.0 ),5,Common-Division
chal-69,Matthew had some crackers. If Matthew gave 2 crackers to each of his 11 friends,How many crackers did Matthew have?,( 11.0 * 2.0 ),22,Multiplication
chal-70,Olivia spent 78 dollars at a supermarket. If she has 33 dollars left with her,How much money did she have initially?,( 78.0 + 33.0 ),111,Addition
chal-71,If Lewis earns $ 1357 every week during the 223 weeks of a harvest season.,How much money will he earn if he works for 73 harvest seasons?,( ( 1357.0 * 223.0 ) * 73.0 ),22090603,Multiplication
chal-72,Because of the decision Sofia asked 310 students to suggest specific types of food. 185 students suggested adding mashed potatoes while others suggested adding bacon to the menu.,How many students suggested bacon?,( 310.0 - 185.0 ),125,Subtraction
chal-73,Jack received 3 emails and 64 letters in the morning. He then received 5 emails and 54 letters in the afternoon.,How many emails did jack receive in the day?,( 3.0 + 5.0 ),8,Addition
chal-74,Paco had 40 cookies. He ate 2 of them. Then he bought 37 more cookies,How many cookies did Paco have left?,( ( 40.0 - 2.0 ) + 37.0 ),75,Addition
chal-75,Because of the decision Sofia asked the students to suggest specific types of food. If 218 students suggested adding mashed potatoes as well as bacon while 351 suggested adding only bacon to the menu,How many students suggested adding bacon?,( 218.0 + 351.0 ),569,Addition
chal-76,If each bag has 41 cookies and you had 53 bags of cookies,How many cookies would you have?,( 53.0 * 41.0 ),2173,Multiplication
chal-77,Rachel had to complete 2 pages of reading homework and 4 pages of math homework.,How many more pages of math homework than reading homework did she have?,( 4.0 - 2.0 ),2,Subtraction
chal-78,Allan brought 5 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park.,How many balloons did Allan bring to the park?,( 5.0 + 3.0 ),8,Addition
chal-79,"Julia played tag with 8 kids on monday, 11 kids on tuesday and 9 kids on wednesday.",How many more kids did she play with on tuesday than on wednesday?,( 11.0 - 9.0 ),2,Subtraction
chal-80,The Razorback shop makes $ 5 dollars off each jersey and $ 215 off each t-shirt. During the Arkansas and Texas tech game they sold 20 t-shirts and 64 jerseys.,How much money did they make from selling the t-shirts?,( 215.0 * 20.0 ),4300,Multiplication
chal-81,36 children were riding on the bus. At the bus stop 68 children got off the bus while some more got on the bus. Then there were 12 children altogether on the bus.,How many more children got off the bus than those that got on?,( 36.0 - 12.0 ),24,Subtraction
chal-82,Brenda's mother made 14 cookies for 2 guests. If each of them had the same number of cookies,How many did each of them have?,( 14.0 / 2.0 ),7,Common-Division
chal-83,Tiffany was collecting cans for recycling. On monday she had 4 bags of cans. The next day she found some more bags worth of cans. If she had a total of 6 bags altogether,How many bags did she find on the next day?,( 6.0 - 4.0 ),2,Subtraction
chal-84,In a school there are 632 girls and 410 boys. 465 more girls joined the school.,How many more girls than boys does the school have?,( ( 632.0 + 465.0 ) - 410.0 ),687,Subtraction
chal-85,Emily is making bead necklaces for her friends where each necklace takes 5 beads. She made 4 necklaces.,How many beads did Emily have?,( 4.0 * 5.0 ),20,Multiplication
chal-86,Randy has 95 blocks. He uses 20 blocks to build a house and 50 blocks to build a tower.,How many more blocks did he use to build the tower than he did to build the house?,( 50.0 - 20.0 ),30,Subtraction
chal-87,2 birds and 6 storks were sitting on the fence. 3 more birds came to join them.,How many more storks than birds are sitting on the fence?,( 6.0 - ( 2.0 + 3.0 ) ),1,Subtraction
chal-88,The Razorback t-shirt shop made $ 51 dollars from selling 3 t-shirt during the Arkansas and Texas tech game they.,What is the cost of each t-shirt?,( 51.0 / 3.0 ),17,Common-Division
chal-89,Paco had 12 cookies. He ate 16 cookies and gave 21 of them to his friend.,How many more cookies did he give to his friend than those he ate?,( 21.0 - 16.0 ),5,Subtraction
chal-90,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 317 visitors came to the Buckingham palace that day. If there were 295 visitors the previous day",How many more visitors visited the Buckingham palace on that day than on the previous day?,( 317.0 - 295.0 ),22,Subtraction
chal-91,Josh had 3 marbles in his collection. He found 6 marbles while he lost 5 marbles.,How many more marbles did he find than those he lost?,( 6.0 - 5.0 ),1,Subtraction
chal-92,Because of the decision Sofia asked the students to suggest specific types of food. If 408 students suggested adding mashed potatoes while 42 suggested adding bacon to the menu,How many more students suggested mashed potatoes than those that suggested bacon?,( 408.0 - 42.0 ),366,Subtraction
chal-93,Paco had 40 cookies. He ate 5 cookies and gave 13 of them to his friend.,How many cookies did paco have left?,( ( 40.0 - 5.0 ) - 13.0 ),22,Subtraction
chal-94,Paco had 17 cookies. He ate 14 cookies and gave 13 of them to his friend.,How many more cookies did he eat than those he gave to his friend?,( 14.0 - 13.0 ),1,Subtraction
chal-95,Julia played tag with 19 kids on monday. She played tag with 18 kids on tuesday. She spent a total of 38 hours to play tag on both days.,How many more kids did she play with on monday than on tuesday?,( 19.0 - 18.0 ),1,Subtraction
chal-96,Dan has $ 5. He bought a candy bar for $ 2 and a chocolate for $ 3.,How much money did he spend to buy chocolate than he did to buy candy bar?,( 3.0 - 2.0 ),1,Subtraction
chal-97,Ed had 29 more marbles than Doug. Ed lost 17 of his marbles at the playground.,How many more marbles did Ed have than Doug then?,( 29.0 - 17.0 ),12,Subtraction
chal-98,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 19 inches. The frog jumped 10 inches farther than the grasshopper and the mouse jumped 20 inches farther than the frog.",How much farther did the mouse jump than the grasshopper?,( 10.0 + 20.0 ),30,Addition
chal-99,Frank was reading through his favorite book. It took him 16 days to finish the book. If the book had 112 pages,How many pages did he read per day?,( 112.0 / 16.0 ),7,Common-Division
chal-100,There are 20 different books in the ' crazy silly school ' series. If you are yet to read 5 of the books,How many books have you already read?,( 20.0 - 5.0 ),15,Subtraction
chal-101,Allan brought 3 balloons and Jake brought 5 balloons to the park. Allan then bought 2 more balloons at the park.,How many balloons did Allan and Jake have in the park?,( ( 3.0 + 5.0 ) + 2.0 ),10,Addition
chal-102,Josh lost 11 marbles. If he had 19 marbles in his collection earlier,How many marbles does he have now?,( 19.0 - 11.0 ),8,Subtraction
chal-103,Allan brought 6 balloons and Jake brought 3 balloons to the park. Jake then bought 4 more balloons at the park.,How many more balloons did Jake have than Allan in the park?,( ( 3.0 + 4.0 ) - 6.0 ),1,Subtraction
chal-104,Faye was placing her pencils into 14 rows with 11 pencils in each row.,How many pencils does she have?,( 14.0 * 11.0 ),154,Multiplication
chal-105,A grocery store had 22 bottles of regular soda and 61 bottles of diet soda.,How many more bottles of diet soda than regular soda did they have?,( 61.0 - 22.0 ),39,Subtraction
chal-106,There are 6 baskets of peaches. Each basket has 16 red peaches and 18 green peaches.,How many red peaches are in the baskets altogether?,( 16.0 * 6.0 ),96,Multiplication
chal-107,During summer break 800059 kids from Lawrence county go to camp and the rest stay home. Lawrence county has 828521 kids in all.,About how many kids stayed home?,( 828521.0 - 800059.0 ),28462,Subtraction
chal-108,There are 141 pots. Each pot has 71 flowers and 91 sticks in it.,How many flowers are there in all?,( 141.0 * 71.0 ),10011,Multiplication
chal-109,Allan brought 2 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park.,How many more balloons did Allan have than Jake in the park?,( ( 2.0 + 3.0 ) - 4.0 ),1,Subtraction
chal-110,"A chef had 58 apples. After making some pies, he had used 35.",How many apples remained?,( 58.0 - 35.0 ),23,Subtraction
chal-111,You had 26 bags with equal number of cookies. If you had 15 candies and 52 cookies in total,How many cookies does each bag have?,( 52.0 / 26.0 ),2,Common-Division
chal-112,He then went to see the oranges being harvested. He found out that they harvest 38 sacks per day and that each sack containes 42 oranges.,How many sacks of oranges will they have after 49 days of harvest?,( 38.0 * 49.0 ),1862,Multiplication
chal-113,There were 16 roses and 3 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 7 orchids and 13 roses in the vase.,How many orchids did she cut?,( 7.0 - 3.0 ),4,Subtraction
chal-114,"Jack received 10 emails in the morning, 5 emails in the afternoon and 4 emails in the evening.",How many more emails did Jack receive in the afternoon than in the evening?,( 5.0 - 4.0 ),1,Subtraction
chal-115,Faye was placing her pencils into rows with 22 pencils in each row. She had 6 packs of pencils each one having 14 pencils.,How many pencils does she have?,( 6.0 * 14.0 ),84,Multiplication
chal-116,A farmer had 160 tomatoes in his garden. If he picked 56 of them yesterday and 41 today.,How many did he have left after yesterday's picking?,( 160.0 - 56.0 ),104,Subtraction
chal-117,Each pot has 40 flowers in it. There are 400 flowers in total.,How many pots are there in all?,( 400.0 / 40.0 ),10,Common-Division
chal-118,15 campers went rowing in the morning. Some more campers went rowing in the afternoon. If a total of 32 campers went rowing that day,How many campers went rowing in the afternoon?,( 32.0 - 15.0 ),17,Subtraction
chal-119,Because of the decision Sofia asked the students to suggest specific types of food. If 479 students suggested adding mashed potatoes while 489 suggested adding bacon to the menu,How many more students suggested bacon than those that suggested mashed potatoes?,( 489.0 - 479.0 ),10,Subtraction
chal-120,Ed had 5 more marbles than Doug. Doug lost 3 of his marbles at the playground. If Ed had 27 marbles,How many marbles did Doug have initially?,( 27.0 - 5.0 ),22,Subtraction
chal-121,Rachel had to complete 7 pages of math homework. If she had to complete 4 more pages of math homework than reading homework,How many pages of reading homework did she have to complete?,( 7.0 - 4.0 ),3,Subtraction
chal-122,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 19 chocolate chip cookies yesterday and 231 raisin cookies and 237 chocolate chip cookies this morning.,How many more chocolate chip cookies than raisin cakes did Helen bake?,( ( 19.0 + 237.0 ) - 231.0 ),25,Subtraction
chal-123,Tiffany was collecting cans for recycling. On monday she had some bags of cans. The next day she found 4 more bags worth of cans. If she had a total of 8 bags altogether,How many bags did she have on monday?,( 8.0 - 4.0 ),4,Subtraction
chal-124,Danny collects bottle caps. He found 30 bottle caps at the park while he threw away 63 old ones. Now he has 42 bottle caps in his collection.,How many more bottle caps did danny throw away than those he found at the park?,( 63.0 - 30.0 ),33,Subtraction
chal-125,Mary is baking a cake. The recipe calls for 12 cups of sugar and 14 cups of flour. She already put in 10 cups of sugar.,How many more cups of flour than cups of sugar does she need to add now?,( 14.0 - ( 12.0 - 10.0 ) ),12,Subtraction
chal-126,Kelly has 22 nintendo games.,How many does she need to buy so that she will have 140 games left?,( 140.0 - 22.0 ),118,Subtraction
chal-127,Mom buys 70 white t - shirts in total. If white t - shirts can be purchased in packages and mom buys 14 packages,How many white t - shirts does each package have?,( 70.0 / 14.0 ),5,Common-Division
chal-128,A farmer had 171 tomatoes in his garden. If he picked 134 of them yesterday and 30 today.,How many will he have left after today?,( ( 171.0 - 134.0 ) - 30.0 ),7,Subtraction
chal-129,Last week Fred had 47 dollars and Jason had 99 dollars. Over the weekend Fred delivered newspapers earning 111 dollars and washed cars earning 34 dollars.,How much money does Fred have now?,( ( 47.0 + 111.0 ) + 34.0 ),192,Addition
chal-130,Mary is baking a cake. The recipe calls for 6 cups of sugar and 14 cups of flour. She already put in 7 cups of flour and 60 cups of sugar.,How many more cups of flour does she need to add?,( 14.0 - 7.0 ),7,Subtraction
chal-131,There were 7 roses and 12 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 11 roses and 20 orchids in the vase.,How many more orchids than roses are there in the vase now?,( 20.0 - 11.0 ),9,Subtraction
chal-132,After Jessie started to go jogging everyday she lost 35 kilograms. She weighed 69 kilograms before beginning jogging.,How much does she weigh now?,( 69.0 - 35.0 ),34,Subtraction
chal-133,22 children were riding on the bus. At the bus stop 40 children got on the bus while some got off the bus. Then there were 2 children altogether on the bus.,How many children got off the bus at the bus stop?,( ( 22.0 + 40.0 ) - 2.0 ),60,Subtraction
chal-134,There are 10 different books and 11 different movies in the ' crazy silly school ' series. If you read 13 of the books and watched 12 of the movies,How many more books than movies have you read?,( 13.0 - 12.0 ),1,Subtraction
chal-135,Emily is making bead necklaces for her friends. She made 11 necklaces and each necklace takes 28 beads.,How many beads did Emily have?,( 11.0 * 28.0 ),308,Multiplication
chal-136,A farmer had 175 tomatoes and 77 potatoes in his garden. If he picked 172 potatoes,How many tomatoes and potatoes does he have left?,( ( 175.0 + 77.0 ) - 172.0 ),80,Subtraction
chal-137,Last week Fred had 111 dollars and Jason had 40 dollars. Fred washed cars over the weekend and now has 115 dollars. Jason delivered newspapers and now has 44 dollars.,How much money did they earn by washing cars?,( 115.0 - 111.0 ),4,Subtraction
chal-138,A mailman has to give 9 pieces of junk mail to each house in each block. If there are 20 houses on a block,How many pieces of junk mail should he give in each block?,( 9.0 * 20.0 ),180,Multiplication
chal-139,Matthew gave equal numbers of crackers and cakes to his 4 friends. If he had 10 crackers and 8 cakes initially,How many cakes did each person eat?,( 8.0 / 4.0 ),2,Common-Division
chal-140,Jessica cut some roses from her flower garden to put in her vase. There are now 19 roses in the vase. If there were 3 roses in the vase initially,How many roses did she cut?,( 19.0 - 3.0 ),16,Subtraction
chal-141,23 children were riding on the bus. At the bus stop 24 children got on the bus while some got off the bus. Then there were 8 children altogether on the bus.,How many more children got off the bus than those that got on?,( 23.0 - 8.0 ),15,Subtraction
chal-142,A book has 3 chapters. The first chapter is 66 pages long the second chapter is 35 pages long and the third chapter is 24 pages long.,How many pages does the book have altogether?,( ( 66.0 + 35.0 ) + 24.0 ),125,Addition
chal-143,"7 red peaches, 15 yellow peaches and 8 green peaches are in the basket.",How many peaches are in the basket?,( ( 7.0 + 15.0 ) + 8.0 ),30,Addition
chal-144,Paige was helping her mom plant flowers and they put 10 seeds in each flower bed. If they planted 60 seeds altogther,How many flower beds did they have?,( 60.0 / 10.0 ),6,Common-Division
chal-145,Because of the decision Sofia asked the students to suggest specific types of food. If 257 students suggested adding mashed potatoes 120 suggested adding bacon to the menu and 97 suggested adding tomatoes,How many more students suggested mashed potatoes than those that suggested bacon?,( 257.0 - 120.0 ),137,Subtraction
chal-146,In a school there are 135 girls and 214 boys. 496 more girls and 910 more boys joined the school.,How many boys are there in the school now?,( 214.0 + 910.0 ),1124,Addition
chal-147,After resting they decided to go for a swim. If the depth of the water is 10 times Dean's height and he stands at 9 feet,How much deeper is the water than Dean's height?,( ( 10.0 * 9.0 ) - 9.0 ),81,Subtraction
chal-148,Next on his checklist is wax to stick the feathers together. He needs 159 g of wax more. If the feathers require a total of 628 g of wax,How many grams of wax does he already have?,( 628.0 - 159.0 ),469,Subtraction
chal-149,Frank was reading through his favorite book. He read 8 pages per day. If the book had 576 pages,How many days did he take to finish the book?,( 576.0 / 8.0 ),72,Common-Division
chal-150,There are a total of 16 peaches in a basket. If there are 13 red peaches and some more green peaches in the basket.,How many green peaches are in the basket?,( 16.0 - 13.0 ),3,Subtraction
chal-151,After resting they decided to go for a swim. The depth of the water is 2 times Dean's height. Dean is 8 feet shorter than Ron. If Ron stands at 14 feet,How deep was the water?,( ( 14.0 - 8.0 ) * 2.0 ),12,Multiplication
chal-152,There are 544 pots in each of the 10 gardens. Each pot has 32 flowers in it.,How many flowers are there in all?,( ( 544.0 * 10 ) * 32.0 ),174080,Multiplication
chal-153,Paige was helping her mom plant flowers and together they planted some seeds. They put 10 seeds in each flower bed. If there are 45 flowerbeds,How many seeds did they plant?,( 10.0 * 45.0 ),450,Multiplication
chal-154,Marco and his dad went strawberry picking. Together their strawberries weighed 4 pounds. Marco's strawberries weighed 19 pounds.,How much more did his strawberries weigh than his dad's?,( 19.0 - ( 4.0 - 19.0 ) ),34,Subtraction
chal-155,Julia played tag with 4 kids on wednesday. She had played with 6 kids on monday and 17 kids on tuesday.,How many more kids did she play with on monday than on wednesday?,( 6.0 - 4.0 ),2,Subtraction
