,Question,Equation
18,Danny collects bottle caps and wrappers. He found w bottle caps and x wrappers at the park. Now he has y bottle caps and z wrappers in his collection. How many wrappers did danny have at first?,( z - x )
19,Paul got a box of w erasers and x crayons for his birthday. At the end of the school year he only had y crayons left while not having lost a single eraser. How many more crayons than erasers did he have left?,( y - w )
20,Baker made w cakes. He sold x of them and bought y new cakes. How many cakes does baker still have?,( ( w - x ) + y )
21,An industrial machine worked for w minutes. It can make x shirts a minute. How many shirts did machine make?,( x * w )
22,The bananas in Philip's collection are organized into groups of size w. If there are a total of w bananas in Philip's banana collection How many groups are there?,( x / w )
23,There were some birds sitting on the fence. w more birds came to join them. If there are a total of x birds on the fence now How many birds had been sitting on the fence at the start?,( x - w )
24,Jerry had w action figures on a shelf in his room. Later he added x more action figures to the shelf and removed some of the old ones. If there are y action figures on his shelf now How many action figures did he remove from the shelf?,( ( w + x ) - y )
25,Danny collects bottle caps and wrappers. He found w wrappers and x bottle caps at the park. Now he has y bottle caps and z wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,( w - x )
26,Because of the decision Sofia asked the students to suggest specific types of food from a total of w choices. If x students suggested adding mashed potatoes y suggested adding bacon to the menu and the rest did not participate How many students participated in the suggestion of new food items?,( x + y )
27,Matthew gave equal numbers of crackers and cakes to his w friends. If he had x crackers and y cakes initially How many crackers and cakes did each person eat?,( ( x + y ) / w )
28,"A grocery store had w bottles of regular soda, x bottles of diet soda and y bottles of lite soda. How many bottles of regular soda and diet soda did they have altogether?",( x + w )
29,"Dan has $ w. He bought x candy bar for $ y, each one costing the same amount of money. How much did each candy bar cost?",( y / x )
30,Tiffany was collecting cans for recycling. On monday she had w bags of cans. The next day she found x more bags worth of cans. How many more bags did she find on the next day than she had on monday?,( x - w )
31,There were w roses and x orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now y roses and z orchids in the vase. How many roses did she cut?,( y - w )
32,There are some baskets of peaches. Each basket has w red peaches and x green peaches. If there are a total of y peaches in all baskets How many baskets of peaches are there?,( y / ( w + x ) )
33,There were w dollars in Olivia's wallet. She spent x dollars at a supermarket. How much money does she have left?,( w - x )
34,"Jack received w emails in the morning, x emails in the afternoon and some more in the evening. If he received a total of y emails in the day How many emails did Jack receive in the afternoon?",( y - ( w + x ) )
35,Dan has $ w. He bought a candy bar for $ x. Then his friend gave him $ y How much money is left?,( ( w - x ) + y )
36,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that w visitors came to the Buckingham palace on the previous day. If there were x visitors on that day How many visited the Buckingham palace within y days?",( x + w )
37,For Gwen's birthday she received w dollars from her dad. Her mom gave her x more dollars. If she spent y dollars. How much more money did she receive from her mom than she did from her dad?,( x - w )
38,There are w bananas and x oranges in Philip's collection. If the bananas are organized into y groups and oranges are organized into z groups How big is each group of oranges?,( x / z )
39,There are w different books and x different movies in the ' crazy silly school ' series. If you read y of the movies and watched z of the books How many more movies than books have you read?,( y - z )
40,Mary is baking a cake. The recipe calls for w cups of flour and x cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour How many cups of flour did she put in?,( w - y )
41,Danny collects bottle caps and wrappers. He found w wrappers and x bottle caps at the park. Now he has y bottle caps and z wrappers in his collection. How many more bottle caps than wrappers did danny find at the park?,( x - w )
42,Luke played w rounds of a trivia game. If he gained x points in each round How many points did he score in the game?,( w * x )
43,w birds and x storks were sitting on the fence. 2 more birds came to join them. How many more birds than storks are sitting on the fence?,( ( w + y ) - x )
44,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped w inches. The mouse jumped x inches lesser than the frog who jumped x3 inches farther than the grasshopper. How far did the mouse jump?",( ( w + y ) - x )
45,Zachary did w push-ups and x crunches in gym class today. David did y more push-ups but z less crunches than zachary. How many more push-ups than crunches did Zachary do?,( w - x )
46,"Jack received w emails in the morning, x emails in the afternoon and y emails in the evening. How many emails did Jack receive in the afternoon and evening?",( x + y )
47,Jerry had w action figures on a shelf in his room. Later he added some more action figures to the shelf and removed x of the old ones. If there are y action figures on his shelf now How many action figures did he add to the shelf?,( ( y + x ) - w )
48,Julia played tag with w kids on monday. She played tag with x kids on tuesday. She spent a total of y hours to play tag on both days. How many kids did she play with altogether?,( w + x )
49,Nell collects cards. She had w baseball cards and x Ace cards. She gave some of her cards to Jeff and now has y baseball cards and Ace cards left. How many more baseball cards than Ace cards does Nell have?,( y - 149.0 )
50,"At the zoo, a cage had w snakes and x alligators. If y alligators were hiding How many alligators were not hiding?",( x - y )
51,You have read w books from the ' crazy silly school ' series. If there are a total of x different books in the ' crazy silly school ' series How many more do you still have to read?,( x - w )
52,Emily is making bead necklaces for her w friends. She had x beads and she was able to make y necklaces. How many beads did each necklace need?,( x / y )
53,Frank put w pieces of candy in each bag. If he had x pieces of candy How many bags would he have?,( x / w )
54,A waiter had w customers. After some left he still had x customers. Then he got y new customers How many customers does he have now?,( x + y )
55,A farmer had w tomatoes in his garden. If he picked x of them yesterday and y today. How many tomatoes did he pick in all?,( x + y )
56,"w red peaches, x yellow peaches and y green peaches are in the basket. How many green and yellow peaches are in the basket?",( y + x )
57,Winter is almost here and most animals are migrating to warmer countries. There were w bird families living near the mountain. If x bird families flew away for winter How many more bird families flew away for the winter than those that stayed behind?,( x - ( w - <x) )
58,There were w roses and x orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now y orchids and 3 roses in the vase. How many more orchids than roses are there in the vase now?,( y - z )
59,"After eating a hearty meal they went to see the Buckingham palace. There were w paintings in the Buckingham palace. There, Rachel learned that x visitors came to the Buckingham palace that day. If there were y visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day?",( x - y )
60,A waiter had w customers. While x customers left he got y new customers. How many customers does he still have?,( ( w - x ) + y )
61,Emily is making bead necklaces for her w friends. She has x beads and each necklace takes y beads. How many necklaces can Emily make?,( x / y )
62,He also had w aquariums for saltwater animals. The aquarium had x saltwater animals in total and every aquarium had the same number of animals. How many saltwater animals does each aquarium have?,( x / w )
63,Mary is baking a cake. The recipe calls for w cups of flour and x cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar How many cups of flour did she put in?,( ( w - x ) - y )
64,Baker made w cakes and x pastries. If he sold y cakes and z pastries How many cakes would baker still have?,( w - y )
65,Dave had w files and x apps on his phone. After deleting some apps and files he had y apps and z files left. How many files did he delete?,( w - z )
66,An industrial machine made w shirts yesterday and x shirts today. It can make 2 shirts a minute. How many minutes did the machine work today?,( x / y )
67,Rebecca wants to split a collection of eggs into w groups. Rebecca has x marbles and y eggs. How many eggs will each group have?,( y / w )
68,Matthew had some crackers. If Matthew gave w crackers to each of his x friends How many crackers did Matthew have?,( x * w )
69,Olivia spent w dollars at a supermarket. If she has x dollars left with her How much money did she have initially?,( w + x )
70,If Lewis earns $ w every week during the x weeks of a harvest season. How much money will he earn if he works for y harvest seasons?,( ( w * x ) * y )
71,Because of the decision Sofia asked w students to suggest specific types of food. x students suggested adding mashed potatoes while others suggested adding bacon to the menu. How many students suggested bacon?,( w - x )
72,Jack received w emails and x letters in the morning. He then received y emails and y4 letters in the afternoon. How many emails did jack receive in the day?,( w + y )
73,Paco had w cookies. He ate x of them. Then he bought y more cookies How many cookies did Paco have left?,( ( w - x ) + y )
74,Because of the decision Sofia asked the students to suggest specific types of food. If w students suggested adding mashed potatoes as well as bacon while x suggested adding only bacon to the menu How many students suggested adding bacon?,( w + x )
75,If each bag has w cookies and you had x bags of cookies How many cookies would you have?,( x * w )
76,Rachel had to complete w pages of reading homework and x pages of math homework. How many more pages of math homework than reading homework did she have?,( x - w )
77,Allan brought w balloons and Jake brought x balloons to the park. Allan then bought y more balloons at the park. How many balloons did Allan bring to the park?,( w + y )
78,"Julia played tag with w kids on monday, x kids on tuesday and y kids on wednesday. How many more kids did she play with on tuesday than on wednesday?",( x - y )
79,The Razorback shop makes $ w dollars off each jersey and $ x off each t-shirt. During the Arkansas and Texas tech game they sold y t-shirts and z jerseys. How much money did they make from selling the t-shirts?,( x * y )
80,w children were riding on the bus. At the bus stop x children got off the bus while some more got on the bus. Then there were y children altogether on the bus. How many more children got off the bus than those that got on?,( w - y )
81,Brenda's mother made w cookies for x guests. If each of them had the same number of cookies How many did each of them have?,( w / x )
82,Tiffany was collecting cans for recycling. On monday she had w bags of cans. The next day she found some more bags worth of cans. If she had a total of x bags altogether How many bags did she find on the next day?,( x - w )
83,In a school there are w girls and x boys. y more girls joined the school. How many more girls than boys does the school have?,( ( w + y ) - x )
84,Emily is making bead necklaces for her friends where each necklace takes w beads. She made x necklaces. How many beads did Emily have?,( x * w )
85,Randy has w blocks. He uses x blocks to build a house and y blocks to build a tower. How many more blocks did he use to build the tower than he did to build the house?,( y - x )
86,w birds and x storks were sitting on the fence. y more birds came to join them. How many more storks than birds are sitting on the fence?,( x - ( w + y ) )
87,The Razorback t-shirt shop made $ w dollars from selling x t-shirt during the Arkansas and Texas tech game they. What is the cost of each t-shirt?,( w / x )
88,Paco had w cookies. He ate x cookies and gave y of them to his friend. How many more cookies did he give to his friend than those he ate?,( y - x )
89,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that w visitors came to the Buckingham palace that day. If there were x visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day?",( w - x )
90,Josh had w marbles in his collection. He found x marbles while he lost y marbles. How many more marbles did he find than those he lost?,( x - y )
91,Because of the decision Sofia asked the students to suggest specific types of food. If w students suggested adding mashed potatoes while x suggested adding bacon to the menu How many more students suggested mashed potatoes than those that suggested bacon?,( w - x )
92,Paco had w cookies. He ate x cookies and gave y of them to his friend. How many cookies did paco have left?,( ( w - x ) - y )
93,Paco had w cookies. He ate x cookies and gave y of them to his friend. How many more cookies did he eat than those he gave to his friend?,( x - y )
94,Julia played tag with w kids on monday. She played tag with x kids on tuesday. She spent a total of y hours to play tag on both days. How many more kids did she play with on monday than on tuesday?,( w - x )
95,Dan has $ w. He bought a candy bar for $ x and a chocolate for $ y. How much money did he spend to buy chocolate than he did to buy candy bar?,( y - x )
96,Ed had w more marbles than Doug. Ed lost x of his marbles at the playground. How many more marbles did Ed have than Doug then?,( w - x )
97,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped w inches. The frog jumped x inches farther than the grasshopper and the mouse jumped y inches farther than the frog. How much farther did the mouse jump than the grasshopper?",( x + y )
98,Frank was reading through his favorite book. It took him w days to finish the book. If the book had x pages How many pages did he read per day?,( x / w )
99,There are w different books in the ' crazy silly school ' series. If you are yet to read x of the books How many books have you already read?,( w - x )
100,Allan brought w balloons and Jake brought x balloons to the park. Allan then bought 2 more balloons at the park. How many balloons did Allan and Jake have in the park?,( ( w + x ) + y )
101,Josh lost w marbles. If he had x marbles in his collection earlier How many marbles does he have now?,( x - w )
102,Allan brought w balloons and Jake brought x balloons to the park. Jake then bought y more balloons at the park. How many more balloons did Jake have than Allan in the park?,( ( x + y ) - w )
103,Faye was placing her pencils into w rows with x pencils in each row. How many pencils does she have?,( w * x )
104,A grocery store had w bottles of regular soda and x bottles of diet soda. How many more bottles of diet soda than regular soda did they have?,( x - w )
105,There are w baskets of peaches. Each basket has x red peaches and y green peaches. How many red peaches are in the baskets altogether?,( x * w )
106,During summer break w kids from Lawrence county go to camp and the rest stay home. Lawrence county has x kids in all. About how many kids stayed home?,( x - w )
107,There are w pots. Each pot has x flowers and y sticks in it. How many flowers are there in all?,( w * x )
108,Allan brought w balloons and Jake brought x balloons to the park. Allan then bought y more balloons at the park. How many more balloons did Allan have than Jake in the park?,( ( w + y ) - x )
109,"A chef had w apples. After making some pies, he had used x. How many apples remained?",( w - x )
110,You had w bags with equal number of cookies. If you had x candies and y cookies in total How many cookies does each bag have?,( y / w )
111,He then went to see the oranges being harvested. He found out that they harvest w sacks per day and that each sack containes x oranges. How many sacks of oranges will they have after y days of harvest?,( w * y )
112,There were w roses and x orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now y orchids and z roses in the vase. How many orchids did she cut?,( y - x )
113,"Jack received w emails in the morning, x emails in the afternoon and y emails in the evening. How many more emails did Jack receive in the afternoon than in the evening?",( x - y )
114,Faye was placing her pencils into rows with w pencils in each row. She had x packs of pencils each one having y pencils. How many pencils does she have?,( x * y )
115,A farmer had w tomatoes in his garden. If he picked x of them yesterday and y today. How many did he have left after yesterday's picking?,( w - x )
116,Each pot has w flowers in it. There are w flowers in total. How many pots are there in all?,( x / w )
117,w campers went rowing in the morning. Some more campers went rowing in the afternoon. If a total of x campers went rowing that day How many campers went rowing in the afternoon?,( x - w )
118,Because of the decision Sofia asked the students to suggest specific types of food. If w students suggested adding mashed potatoes while x suggested adding bacon to the menu How many more students suggested bacon than those that suggested mashed potatoes?,( x - w )
119,Ed had w more marbles than Doug. Doug lost x of his marbles at the playground. If Ed had y marbles How many marbles did Doug have initially?,( y - w )
120,Rachel had to complete w pages of math homework. If she had to complete x more pages of math homework than reading homework How many pages of reading homework did she have to complete?,( w - x )
121,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked w chocolate chip cookies yesterday and x raisin cookies and y chocolate chip cookies this morning. How many more chocolate chip cookies than raisin cakes did Helen bake?,( ( w + y ) - x )
122,Tiffany was collecting cans for recycling. On monday she had some bags of cans. The next day she found w more bags worth of cans. If she had a total of x bags altogether How many bags did she have on monday?,( x - w )
123,Danny collects bottle caps. He found w bottle caps at the park while he threw away x old ones. Now he has y bottle caps in his collection. How many more bottle caps did danny throw away than those he found at the park?,( x - w )
124,Mary is baking a cake. The recipe calls for w cups of sugar and x cups of flour. She already put in y cups of sugar. How many more cups of flour than cups of sugar does she need to add now?,( x - ( w - y ) )
125,Kelly has w nintendo games. How many does she need to buy so that she will have x games left?,( x - w )
126,Mom buys w white t - shirts in total. If white t - shirts can be purchased in packages and mom buys x packages How many white t - shirts does each package have?,( w / x )
127,A farmer had w tomatoes in his garden. If he picked x of them yesterday and y today. How many will he have left after today?,( ( w - x ) - y )
128,Last week Fred had w dollars and Jason had x dollars. Over the weekend Fred delivered newspapers earning y dollars and washed cars earning z dollars. How much money does Fred have now?,( ( w + y ) + z )
129,Mary is baking a cake. The recipe calls for w cups of sugar and x cups of flour. She already put in y cups of flour and w cups of sugar. How many more cups of flour does she need to add?,( x - y )
130,There were w roses and x orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now y roses and z orchids in the vase. How many more orchids than roses are there in the vase now?,( z - y )
131,After Jessie started to go jogging everyday she lost w kilograms. She weighed x kilograms before beginning jogging. How much does she weigh now?,( x - w )
132,w children were riding on the bus. At the bus stop x children got on the bus while some got off the bus. Then there were 2 children altogether on the bus. How many children got off the bus at the bus stop?,( ( w + x ) - y )
133,There are w different books and x different movies in the ' crazy silly school ' series. If you read y of the books and watched z of the movies How many more books than movies have you read?,( y - z )
134,Emily is making bead necklaces for her friends. She made w necklaces and each necklace takes x beads. How many beads did Emily have?,( w * x )
135,A farmer had w tomatoes and x potatoes in his garden. If he picked y potatoes How many tomatoes and potatoes does he have left?,( ( w + x ) - y )
136,Last week Fred had w dollars and Jason had x dollars. Fred washed cars over the weekend and now has y dollars. Jason delivered newspapers and now has z dollars. How much money did they earn by washing cars?,( y - w )
137,A mailman has to give w pieces of junk mail to each house in each block. If there are x houses on a block How many pieces of junk mail should he give in each block?,( w * x )
138,Matthew gave equal numbers of crackers and cakes to his w friends. If he had x crackers and y cakes initially How many cakes did each person eat?,( y / w )
139,Jessica cut some roses from her flower garden to put in her vase. There are now w roses in the vase. If there were x roses in the vase initially How many roses did she cut?,( w - x )
140,w children were riding on the bus. At the bus stop x children got on the bus while some got off the bus. Then there were y children altogether on the bus. How many more children got off the bus than those that got on?,( w - y )
141,A book has w chapters. The first chapter is x pages long the second chapter is w5 pages long and the third chapter is z pages long. How many pages does the book have altogether?,( ( x + y ) + z )
142,"w red peaches, x yellow peaches and y green peaches are in the basket. How many peaches are in the basket?",( ( w + x ) + y )
143,Paige was helping her mom plant flowers and they put w seeds in each flower bed. If they planted x seeds altogther How many flower beds did they have?,( x / w )
144,Because of the decision Sofia asked the students to suggest specific types of food. If w students suggested adding mashed potatoes x suggested adding bacon to the menu and y suggested adding tomatoes How many more students suggested mashed potatoes than those that suggested bacon?,( w - x )
145,In a school there are w girls and x boys. y more girls and z more boys joined the school. How many boys are there in the school now?,( x + z )
146,After resting they decided to go for a swim. If the depth of the water is w times Dean's height and he stands at x feet How much deeper is the water than Dean's height?,( ( w * x ) - <x)
147,Next on his checklist is wax to stick the feathers together. He needs w g of wax more. If the feathers require a total of x g of wax How many grams of wax does he already have?,( x - w )
148,Frank was reading through his favorite book. He read w pages per day. If the book had x pages How many days did he take to finish the book?,( x / w )
149,There are a total of w peaches in a basket. If there are x red peaches and some more green peaches in the basket. How many green peaches are in the basket?,( w - x )
150,After resting they decided to go for a swim. The depth of the water is w times Dean's height. Dean is x feet shorter than Ron. If Ron stands at y feet How deep was the water?,( ( y - x ) * w )
151,There are w pots in each of the x gardens. Each pot has y flowers in it. How many flowers are there in all?,( ( w * 10 ) * y )
152,Paige was helping her mom plant flowers and together they planted some seeds. They put w seeds in each flower bed. If there are x flowerbeds How many seeds did they plant?,( w * x )
153,Marco and his dad went strawberry picking. Together their strawberries weighed w pounds. Marco's strawberries weighed x pounds. How much more did his strawberries weigh than his dad's?,( x - ( w - <x) )
154,Julia played tag with w kids on wednesday. She had played with x kids on monday and y kids on tuesday. How many more kids did she play with on monday than on wednesday?,( x - w )
155,Carol was sending out birthday invitations to w friends. If each package of invitations she bought had x invitations in it How many packs does she need so that no friend gets left out?,( w / x )
156,"A grocery store had w apples, x bottles of regular soda and y bottles of diet soda. How many more bottles than apple did they have?",( ( x + y ) - w )
157,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped w inches. The mouse jumped x inches lesser than the frog who jumped y inches farther than the grasshopper. How much farther did the mouse jump than the grasshopper?",( y - x )
158,Faye was placing her pencils and crayons into w rows with x pencils and y crayons in each row. How many pencils and crayons does she have altogether?,( ( x + y ) * w )
159,The school is planning a field trip. The school has w classrooms. There are x students in the school with each classroom having the same number of students. If there are 2 seats on each school bus. How many buses are needed to take the trip?,( x / y )
160,Emily is making bead necklaces for her friends. She had w beads and she was able to make x necklaces. How many beads did each necklace need?,( x / w )
161,Paige raised w goldfish and x catfish in the pond but stray cats loved eating them. Now she has y left. How many fishes disappeared?,( ( w + x ) - y )
162,Paco had w sweet cookies and x salty cookies. He ate y salty cookies and z sweet cookies. How many more salty cookies than sweet cookies did he eat?,( y - z )
163,Steven has w peaches. Jake has x fewer peaches than Steven and y more peaches than Jill. How many peaches does Jill have?,( ( w - x ) - y )
164,Paul had w books. He sold x books in a garage sale. How many books does he have left with him?,( w - x )
165,An industrial machine made w shirts yesterday and x shirts today. It can make y shirts a minute. How many minutes did the machine work in all?,( ( w + x ) / y )
166,Carol was sending out birthday invitations to her friends. Each package of invitations she bought had w invitations in it and she bought x packs. Then she bought y extra invitations. How many friends can she invite?,( ( w * x ) + y )
167,An industrial machine can make w shirts per minute. It made x shirts in all. How many minutes was the machine working?,( x / w )
168,Danny collects bottle caps. He found w bottle caps at the park while he threw away x old ones. Now he has y bottle caps in his collection. How many bottle caps did danny have at first?,( ( y + x ) - w )
169,A grocery store had w bottles of regular soda and x bottles of diet soda. How many more bottles of regular soda than diet soda did they have?,( w - x )
170,During summer break w kids from Lawrence county stayed home and the other x kids went to camp. An additional y kids from outside the county attended the camp. How many kids are in Lawrence county?,( x + w )
171,Faye was placing w pencils into rows with x pencils in each row. How many rows could she make?,( w / x )
172,Frank had some pieces of candy. If he put them into w bags with x pieces in each bag How many pieces of candy did he have?,( w * x )
173,A grocery store had a total of w bottles of which x were bottles of regular soda and the rest were bottles of diet soda. They also had y apple. How many bottles of diet soda did they have?,( w - x )
174,Jake has w fewer peaches than Steven who has x more peaches than Jill. Steven has y peaches. How many more peaches does Jake have than Jill?,( x - w )
175,Josh had w marbles in his collection. He gave x marbles to Jack. How many marbles does Josh have now?,( w - x )
176,Steven has w peaches. Jake has x fewer peaches than Steven who has y more peaches than Jill. How many peaches does Jake have?,( w - x )
177,The Razorback t-shirt shop makes $ w dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of x t-shirts. If they sold y t-shirts during the Arkansas game How much money did they make from selling the t-shirts during the arkansas game?,( w * y )
178,"Jack received w emails in the morning, x emails in the afternoon and y emails in the evening. How many emails did Jack receive in the day?",( ( w + x ) + y )
179,Jake has w fewer peaches than Steven. Steven has x more peaches than Jill. If Jill has y peaches How many more peaches does Jake have than Jill?,( x - w )
180,For the walls of the house he would use w large planks of wood. If each plank of wood needs x pieces of nails to be secured and in addition y nails are needed for some smaller planks. How many nails does John need for the house wall?,( ( w * x ) + y )
181,"A grocery store had w bottles of diet soda, x bottles of regular soda and y apples. How many more bottles of regular soda than diet soda did they have?",( x - w )
182,Because of the decision Sofia asked the students to suggest specific types of food. If w students suggested adding bacon x suggested adding mashed potatoes to the menu and y suggested adding tomatoes How many more students suggested mashed potatoes than those that suggested bacon?,( x - w )
183,Brenda's mother made cookies for w. If each of them had x cookies How many cookies did she prepare?,( w * x )
184,Dave had w apps on his phone. He added x new apps. After deleting some he had y left. How many more apps did he delete than he added?,( w - y )
185,Kelly has w nintendo games. How many will she have left if she gives away x games?,( w - x )
186,Matthew had w crackers. If Matthew gave equal numbers of crackers to his x friends and still had y crackers left How many crackers did each friend eat?,( ( w - y ) / x )
187,Last week Fred had w dollars and Jason had x dollars. They washed cars over the weekend and now Fred has y dollars and Jason has z dollars. How much money did Jason make over the weekend?,( z - x )
188,Frank had w pieces of candy. If he put them equally into x bags How many pieces of candy are in each bag?,( w / x )
189,Jack received w emails in the morning and x emails in the afternoon. How many more emails did Jack receive in the morning than in the afternoon?,( w - x )
190,Baker made w cakes and x pastries. If he sold y pastries and z cakes How many more pastries than cakes did baker sell?,( y - z )
191,Haley has w marbles. In her class x boys love to play marbles. If she distributes her marbles equally How many will each of the boys receive?,( w / x )
192,They decided to hold the party in their backyard. They have w sets of tables and each set has x chairs. If a total of y people will attend the party How many more chairs will they have to buy?,( y - ( w * x ) )
193,Last week Fred had w dollars and Jason had x dollars. They washed cars over the weekend and now Fred has y dollars and Jason has z dollars. How much money did Fred earn over the weekend?,( y - w )
194,Paco had w cookies. He ate x of them. Then he bought y more cookies How many more cookies did he eat than those he bought?,( x - y )
195,Rachel has w apple trees. She picked x apples from each of her trees. Now the trees have a total y apples still on them. How many apples did Rachel pick in all?,( w * x )
196,Jake has w fewer peaches and x more apples than Steven. Steven has y apples and z peaches. How many more peaches than apples does Steven have?,( z - y )
197,A grocery store had a total of w bottles of which x were bottles of regular soda and the rest were bottles of diet soda. How many bottles of diet soda did they have?,( w - x )
198,The Ferris wheel in paradise park has w small seats and w3 large seats. Each small seat can hold y people and large seat can hold z people. How many people can ride the Ferris wheel on small seats?,( w * y )
199,Debby bought w soda bottles and x water bottles when they were on sale. If she drank y water bottles and z soda bottles a day How many days would the soda bottles last?,( w / z )
200,A grocery store had w bottles of diet soda. If they had x more bottles of regular soda than diet soda How many bottles of regular soda did they have?,( w + x )
201,During the Arkansas and Texas tech game the Razorback t-shirt shop made $ w by selling t-shirts. If they make $ x dollars off each t-shirt sold How many t-shirts did they sell?,( w / x )
202,Frank was reading through his favorite book. He read w pages per day and it took him x days to finish the book. How many pages are there in the book?,( w * x )
203,Winter is almost here and most animals are migrating to warmer countries. w bird families flew away for the winter from near a mountain. If there were x bird families living near the mountain initially How many more bird families flew away for the winter than those that stayed behind?,( w - ( x - <w) )
204,Allan brought w balloons to the park and then bought x more balloons there. If Jake brought y balloons to the park How many more balloons did Jake have than Allan in the park?,( y - ( w + x ) )
205,Bryan took a look at his books and magazines. If he has w books and x magazines in each of his y bookshelves How many magazines does he have in total?,( x * y )
206,"Rachel had to complete w pages of math homework, x pages of reading homework and y more pages of biology homework. How many pages of math and biology homework did she have to complete?",( w + y )
207,"Every day Ryan spends w hours on learning english, x hours on learning chinese and y hours on learning spanish. How many more hours does he spend on learning chinese than he does on learning spanish?",( x - y )
208,w birds were sitting on the fence. x more birds and y more storks came to join them. How many more birds than storks are sitting on the fence?,( ( w + x ) - y )
209,Paco had w cookies. He gave x cookies to his friend and ate y cookies. How many more cookies did he give to his friend than those he ate?,( x - y )
210,Baker made w cakes. He sold x of them and bought y new cakes. How many more cakes did baker sell than those he bought?,( x - y )
211,Shirley sold w cases of boxes of trefoils. How many boxes of trefoils does she need to deliver if each case has x boxes?,( w * x )
212,We ordered w pizzas. Each pizza has x slices. If there are y of us How many slices of pizza are there altogether?,( w * x )
213,There were w roses and x orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now y roses and z orchids in the vase. How many orchids did she cut?,( z - x )
214,White t - shirts can be purchased in packages. If mom buys w white t - shirts where each package has x white t - shirts. How many packages will she have?,( w / x )
215,Mary is baking a cake. The recipe calls for w cups of flour and x cups of sugar. She already put in y cups of flour and 2 cups of sugar. How many more cups of sugar does she need to add?,( x - z )
216,Mom buys w white t - shirts. If white t - shirts can be purchased in packages of x How many packages will she have?,( w / x )
217,Adam could fit w action figures and x cabinets on each shelf in his room. His room has y shelves. How many total items could his shelves hold?,( ( w + x ) * y )
218,We ordered w pizzas. Each pizza has the same number of slices. If there were a total of x slices How many slices are there in each pizza?,( x / w )
219,Baker made w cakes. He sold x of them. Then he made y more cakes. How many more cakes did baker make than those he sold?,( ( w + y ) - x )
220,Mary is baking a cake. The recipe calls for w cups of flour x cups of sugar and y cups of salt. She already put in z cups of flour. How many more cups of flour does she need to add?,( w - z )
