,Unnamed: 0.2,Unnamed: 0.1,ID,Body,Question,Equation,Answer,Type,Symbolic Problem,Symbolic Equation,Variables,Numbers
54,54,54,chal-55,A waiter had 12 customers. After some left he still had 14 customers. Then he got 10 new customers,How many customers does he have now?,( 14.0 + 10.0 ),24,Addition,A waiter had <1> customers. After some left he still had <2> customers. Then he got <3> new customers how many customers does he have now?,( <2> + <3> ),"['<1>', '<2>', '<3>']","['12', '14', '10']"
55,55,55,chal-56,A farmer had 90 tomatoes in his garden. If he picked 154 of them yesterday and 50 today.,How many tomatoes did he pick in all?,( 154.0 + 50.0 ),204,Addition,A farmer had <1> tomatoes in his garden. If he picked <2> of them yesterday and <3> today. how many tomatoes did he pick in all?,( <2> + <3> ),"['<1>', '<2>', '<3>']","['90', '154', '50']"
56,56,56,chal-57,"5 red peaches, 14 yellow peaches and 6 green peaches are in the basket.",How many green and yellow peaches are in the basket?,( 6.0 + 14.0 ),20,Addition,"<1> red peaches, <2> yellow peaches and <3> green peaches are in the basket. how many green and yellow peaches are in the basket?",( <3> + <2> ),"['<1>', '<2>', '<3>']","['5', '14', '6']"
57,57,57,chal-58,Winter is almost here and most animals are migrating to warmer countries. There were 89 bird families living near the mountain. If 60 bird families flew away for winter,How many more bird families flew away for the winter than those that stayed behind?,( 60.0 - ( 89.0 - 60.0 ) ),31,Subtraction,Winter is almost here and most animals are migrating to warmer countries. There were <1> bird families living near the mountain. If <2> bird families flew away for winter how many more bird families flew away for the winter than those that stayed behind?,( <2> - ( <1> - 60.0 ) ),"['<1>', '<2>']","['89', '60']"
58,58,58,chal-59,There were 9 roses and 6 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 13 orchids and 3 roses in the vase.,How many more orchids than roses are there in the vase now?,( 13.0 - 3.0 ),10,Subtraction,There were <1> roses and <2> orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now <<4>> orchids and 3 roses in the vase. how many more orchids than roses are there in the vase now?,( <<4>- 3.0 ),"['<1>', '<2>', '<3>', '<4>']","['9', '6', '13', '3']"
59,59,59,chal-60,"After eating a hearty meal they went to see the Buckingham palace. There were 39 paintings in the Buckingham palace. There, Rachel learned that 661 visitors came to the Buckingham palace that day. If there were 600 visitors the previous day",How many more visitors visited the Buckingham palace on that day than on the previous day?,( 661.0 - 600.0 ),61,Subtraction,"After eating a hearty meal they went to see the Buckingham palace. There were <1> paintings in the Buckingham palace. There, Rachel learned that <2> visitors came to the Buckingham palace that day. If there were <3> visitors the previous day how many more visitors visited the buckingham palace on that day than on the previous day?",( <2> - <3> ),"['<1>', '<2>', '<3>']","['39', '661', '600']"
60,60,60,chal-61,A waiter had 12 customers. While 15 customers left he got 14 new customers.,How many customers does he still have?,( ( 12.0 - 15.0 ) + 14.0 ),11,Addition,A waiter had <1> customers. While <2> customers left he got <3> new customers. how many customers does he still have?,( ( <1> - <2> ) + <3> ),"['<1>', '<2>', '<3>']","['12', '15', '14']"
61,61,61,chal-62,Emily is making bead necklaces for her 72 friends. She has 6 beads and each necklace takes 3 beads.,How many necklaces can Emily make?,( 6.0 / 3.0 ),2,Common-Division,Emily is making bead necklaces for her <1> friends. She has <2> beads and each necklace takes <3> beads. how many necklaces can emily make?,( <2> / <3> ),"['<1>', '<2>', '<3>']","['72', '6', '3']"
62,62,62,chal-63,He also had 26 aquariums for saltwater animals. The aquarium had 52 saltwater animals in total and every aquarium had the same number of animals.,How many saltwater animals does each aquarium have?,( 52.0 / 26.0 ),2,Common-Division,He also had <1> aquariums for saltwater animals. The aquarium had <2> saltwater animals in total and every aquarium had the same number of animals. how many saltwater animals does each aquarium have?,( <2> / <1> ),"['<1>', '<2>']","['26', '52']"
63,63,63,chal-64,Mary is baking a cake. The recipe calls for 11 cups of flour and 7 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar,How many cups of flour did she put in?,( ( 11.0 - 7.0 ) - 2.0 ),2,Subtraction,Mary is baking a cake. The recipe calls for <1> cups of flour and <<3>> cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar how many cups of flour did she put in?,( ( <1> - <<3>) - 2.0 ),"['<1>', '<2>', '<3>']","['11', '7', '2']"
64,64,64,chal-65,Baker made 149 cakes and 91 pastries. If he sold 10 cakes and 90 pastries,How many cakes would baker still have?,( 149.0 - 10.0 ),139,Subtraction,Baker made <1> cakes and <2> pastries. If he sold <3> cakes and <4> pastries how many cakes would baker still have?,( <1> - <3> ),"['<1>', '<2>', '<3>', '<4>']","['149', '91', '10', '90']"
65,65,65,chal-66,Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left.,How many files did he delete?,( 24.0 - 21.0 ),3,Subtraction,Dave had <1> files and <2> apps on his phone. After deleting some apps and files he had <3> apps and <4> files left. how many files did he delete?,( <1> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['24', '13', '17', '21']"
66,66,66,chal-67,An industrial machine made 9 shirts yesterday and 8 shirts today. It can make 2 shirts a minute.,How many minutes did the machine work today?,( 8.0 / 2.0 ),4,Common-Division,An industrial machine made <1> shirts yesterday and <<3>> shirts today. It can make 2 shirts a minute. how many minutes did the machine work today?,( <<3>/ 2.0 ),"['<1>', '<2>', '<3>']","['9', '8', '2']"
67,67,67,chal-68,Rebecca wants to split a collection of eggs into 3 groups. Rebecca has 4 marbles and 15 eggs.,How many eggs will each group have?,( 15.0 / 3.0 ),5,Common-Division,Rebecca wants to split a collection of eggs into <1> groups. Rebecca has <2> marbles and <3> eggs. how many eggs will each group have?,( <3> / <1> ),"['<1>', '<2>', '<3>']","['3', '4', '15']"
68,68,68,chal-69,Matthew had some crackers. If Matthew gave 2 crackers to each of his 11 friends,How many crackers did Matthew have?,( 11.0 * 2.0 ),22,Multiplication,Matthew had some crackers. If Matthew gave <1> crackers to each of his <2> friends how many crackers did matthew have?,( <2> * <1> ),"['<1>', '<2>']","['2', '11']"
69,69,69,chal-70,Olivia spent 78 dollars at a supermarket. If she has 33 dollars left with her,How much money did she have initially?,( 78.0 + 33.0 ),111,Addition,Olivia spent <1> dollars at a supermarket. If she has <2> dollars left with her how much money did she have initially?,( <1> + <2> ),"['<1>', '<2>']","['78', '33']"
