,Question
62,He also had x1 aquariums for saltwater animals. The aquarium had x2 saltwater animals in total and every aquarium had the same number of animals. how many saltwater animals does each aquarium have?
63,Mary is baking a cake. The recipe calls for x1 cups of flour and <x3> cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar how many cups of flour did she put inMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar how many cups of flour did she put inMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar how many cups of flour did she put inMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar how many cups of flour did she put inMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar how many cups of flour did she put inMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar how many cups of flour did she put inMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar how many cups of flour did she put inMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar how many cups of flour did she put inx2?
64,Baker made x1 cakes and x2 pastries. If he sold x3 cakes and x4 pastries how many cakes would baker still have?
65,Dave had x1 files and x2 apps on his phone. After deleting some apps and files he had x3 apps and x4 files left. how many files did he delete?
66,An industrial machine made x1 shirts yesterday and <x3> shirts today. It can make 2 shirts a minute. how many minutes did the machine work todayAn industrial machine made x1 shirts yesterday and <<3>> shirts today. It can make 2 shirts a minute. how many minutes did the machine work todayAn industrial machine made x1 shirts yesterday and <<3>> shirts today. It can make 2 shirts a minute. how many minutes did the machine work todayAn industrial machine made x1 shirts yesterday and <<3>> shirts today. It can make 2 shirts a minute. how many minutes did the machine work todayAn industrial machine made x1 shirts yesterday and <<3>> shirts today. It can make 2 shirts a minute. how many minutes did the machine work todayAn industrial machine made x1 shirts yesterday and <<3>> shirts today. It can make 2 shirts a minute. how many minutes did the machine work todayAn industrial machine made x1 shirts yesterday and <<3>> shirts today. It can make 2 shirts a minute. how many minutes did the machine work todayAn industrial machine made x1 shirts yesterday and <<3>> shirts today. It can make 2 shirts a minute. how many minutes did the machine work todayx2?
67,Rebecca wants to split a collection of eggs into x1 groups. Rebecca has x2 marbles and x3 eggs. how many eggs will each group have?
68,Matthew had some crackers. If Matthew gave x1 crackers to each of his x2 friends how many crackers did matthew have?
69,Olivia spent x1 dollars at a supermarket. If she has x2 dollars left with her how much money did she have initially?
70,If Lewis earns $ x1 every week during the x2 weeks of a harvest season. how much money will he earn if he works for x3 harvest seasons?
71,Because of the decision Sofia asked x1 students to suggest specific types of food. x2 students suggested adding mashed potatoes while others suggested adding bacon to the menu. how many students suggested bacon?
72,Jack received x1 emails and x2 letters in the morning. He then received x3 emails and x4 letters in the afternoon. how many emails did jack receive in the day?
73,Paco had x1 cookies. He ate x2 of them. Then he bought x3 more cookies how many cookies did paco have left?
74,Because of the decision Sofia asked the students to suggest specific types of food. If x1 students suggested adding mashed potatoes as well as bacon while x2 suggested adding only bacon to the menu how many students suggested adding bacon?
75,If each bag has x1 cookies and you had x2 bags of cookies how many cookies would you have?
76,Rachel had to complete x1 pages of reading homework and x2 pages of math homework. how many more pages of math homework than reading homework did she have?
77,Allan brought x1 balloons and Jake brought x2 balloons to the park. Allan then bought x3 more balloons at the park. how many balloons did allan bring to the park?
78,"Julia played tag with x1 kids on monday, x2 kids on tuesday and x3 kids on wednesday. how many more kids did she play with on tuesday than on wednesday?"
79,The Razorback shop makes $ x1 dollars off each jersey and $ x2 off each t-shirt. During the Arkansas and Texas tech game they sold x3 t-shirts and x4 jerseys. how much money did they make from selling the t-shirts?
80,x1 children were riding on the bus. At the bus stop x2 children got off the bus while some more got on the bus. Then there were x3 children altogether on the bus. how many more children got off the bus than those that got on?
81,Brenda's mother made x1 cookies for x2 guests. If each of them had the same number of cookies how many did each of them have?
82,Tiffany was collecting cans for recycling. On monday she had x1 bags of cans. The next day she found some more bags worth of cans. If she had a total of x2 bags altogether how many bags did she find on the next day?
83,In a school there are x1 girls and x2 boys. x3 more girls joined the school. how many more girls than boys does the school have?
84,Emily is making bead necklaces for her friends where each necklace takes x1 beads. She made x2 necklaces. how many beads did emily have?
85,Randy has x1 blocks. He uses x2 blocks to build a house and x3 blocks to build a tower. how many more blocks did he use to build the tower than he did to build the house?
86,x1 birds and x2 storks were sitting on the fence. x3 more birds came to join them. how many more storks than birds are sitting on the fence?
87,The Razorback t-shirt shop made $ x1 dollars from selling x2 t-shirt during the Arkansas and Texas tech game they. what is the cost of each t-shirt?
88,Paco had x1 cookies. He ate x2 cookies and gave x3 of them to his friend. how many more cookies did he give to his friend than those he ate?
89,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that x1 visitors came to the Buckingham palace that day. If there were x2 visitors the previous day how many more visitors visited the buckingham palace on that day than on the previous day?"
90,Josh had x1 marbles in his collection. He found x2 marbles while he lost x3 marbles. how many more marbles did he find than those he lost?
91,Because of the decision Sofia asked the students to suggest specific types of food. If x1 students suggested adding mashed potatoes while x2 suggested adding bacon to the menu how many more students suggested mashed potatoes than those that suggested bacon?
92,Paco had x1 cookies. He ate x2 cookies and gave x3 of them to his friend. how many cookies did paco have left?
93,Paco had x1 cookies. He ate x2 cookies and gave x3 of them to his friend. how many more cookies did he eat than those he gave to his friend?
94,Julia played tag with x1 kids on monday. She played tag with x2 kids on tuesday. She spent a total of x3 hours to play tag on both days. how many more kids did she play with on monday than on tuesday?
95,Dan has $ x1. He bought a candy bar for $ x2 and a chocolate for $ x3. how much money did he spend to buy chocolate than he did to buy candy bar?
96,Ed had x1 more marbles than Doug. Ed lost x2 of his marbles at the playground. how many more marbles did ed have than doug then?
97,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped x1 inches. The frog jumped x2 inches farther than the grasshopper and the mouse jumped x3 inches farther than the frog. how much farther did the mouse jump than the grasshopper?"
98,Frank was reading through his favorite book. It took him x1 days to finish the book. If the book had x2 pages how many pages did he read per day?
99,There are x1 different books in the ' crazy silly school ' series. If you are yet to read x2 of the books how many books have you already read?
100,Allan brought x1 balloons and Jake brought <x3> balloons to the park. Allan then bought 2 more balloons at the park. how many balloons did allan and jake have in the parkAllan brought x1 balloons and Jake brought <<3>> balloons to the park. Allan then bought 2 more balloons at the park. how many balloons did allan and jake have in the parkAllan brought x1 balloons and Jake brought <<3>> balloons to the park. Allan then bought 2 more balloons at the park. how many balloons did allan and jake have in the parkAllan brought x1 balloons and Jake brought <<3>> balloons to the park. Allan then bought 2 more balloons at the park. how many balloons did allan and jake have in the parkAllan brought x1 balloons and Jake brought <<3>> balloons to the park. Allan then bought 2 more balloons at the park. how many balloons did allan and jake have in the parkAllan brought x1 balloons and Jake brought <<3>> balloons to the park. Allan then bought 2 more balloons at the park. how many balloons did allan and jake have in the parkAllan brought x1 balloons and Jake brought <<3>> balloons to the park. Allan then bought 2 more balloons at the park. how many balloons did allan and jake have in the parkAllan brought x1 balloons and Jake brought <<3>> balloons to the park. Allan then bought 2 more balloons at the park. how many balloons did allan and jake have in the parkx2?
101,Josh lost x1 marbles. If he had x2 marbles in his collection earlier how many marbles does he have now?
102,Allan brought x1 balloons and Jake brought x2 balloons to the park. Jake then bought x3 more balloons at the park. how many more balloons did jake have than allan in the park?
103,Faye was placing her pencils into x1 rows with x2 pencils in each row. how many pencils does she have?
104,A grocery store had x1 bottles of regular soda and x2 bottles of diet soda. how many more bottles of diet soda than regular soda did they have?
105,There are x1 baskets of peaches. Each basket has x2 red peaches and x3 green peaches. how many red peaches are in the baskets altogether?
106,During summer break x1 kids from Lawrence county go to camp and the rest stay home. Lawrence county has x2 kids in all. about how many kids stayed home?
107,There are x1 pots. Each pot has x2 flowers and x3 sticks in it. how many flowers are there in all?
108,Allan brought x1 balloons and Jake brought x2 balloons to the park. Allan then bought x3 more balloons at the park. how many more balloons did allan have than jake in the park?
109,"A chef had x1 apples. After making some pies, he had used x2. how many apples remained?"
110,You had x1 bags with equal number of cookies. If you had x2 candies and x3 cookies in total how many cookies does each bag have?
111,He then went to see the oranges being harvested. He found out that they harvest x1 sacks per day and that each sack containes x2 oranges. how many sacks of oranges will they have after x3 days of harvest?
112,There were x1 roses and x2 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now x3 orchids and x4 roses in the vase. how many orchids did she cut?
113,"Jack received x1 emails in the morning, x2 emails in the afternoon and x3 emails in the evening. how many more emails did jack receive in the afternoon than in the evening?"
114,Faye was placing her pencils into rows with x1 pencils in each row. She had x2 packs of pencils each one having x3 pencils. how many pencils does she have?
115,A farmer had x1 tomatoes in his garden. If he picked x2 of them yesterday and x3 today. how many did he have left after yesterday's picking?
116,Each pot has x1 flowers in it. There are x2 flowers in total. how many pots are there in all?
117,x1 campers went rowing in the morning. Some more campers went rowing in the afternoon. If a total of x2 campers went rowing that day how many campers went rowing in the afternoon?
118,Because of the decision Sofia asked the students to suggest specific types of food. If x1 students suggested adding mashed potatoes while x2 suggested adding bacon to the menu how many more students suggested bacon than those that suggested mashed potatoes?
119,Ed had x1 more marbles than Doug. Doug lost x2 of his marbles at the playground. If Ed had x3 marbles how many marbles did doug have initially?
120,Rachel had to complete x1 pages of math homework. If she had to complete x2 more pages of math homework than reading homework how many pages of reading homework did she have to complete?
121,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked x1 chocolate chip cookies yesterday and x2 raisin cookies and x3 chocolate chip cookies this morning. how many more chocolate chip cookies than raisin cakes did helen bake?
122,Tiffany was collecting cans for recycling. On monday she had some bags of cans. The next day she found x1 more bags worth of cans. If she had a total of x2 bags altogether how many bags did she have on monday?
123,Danny collects bottle caps. He found x1 bottle caps at the park while he threw away x2 old ones. Now he has x3 bottle caps in his collection. how many more bottle caps did danny throw away than those he found at the park?
124,Mary is baking a cake. The recipe calls for x1 cups of sugar and x2 cups of flour. She already put in x3 cups of sugar. how many more cups of flour than cups of sugar does she need to add now?
125,Kelly has x1 nintendo games. how many does she need to buy so that she will have x2 games left?
126,Mom buys x1 white t - shirts in total. If white t - shirts can be purchased in packages and mom buys x2 packages how many white t - shirts does each package have?
127,A farmer had x1 tomatoes in his garden. If he picked x2 of them yesterday and x3 today. how many will he have left after today?
128,Last week Fred had x1 dollars and Jason had x2 dollars. Over the weekend Fred delivered newspapers earning x3 dollars and washed cars earning x4 dollars. how much money does fred have now?
129,Mary is baking a cake. The recipe calls for x1 cups of sugar and x2 cups of flour. She already put in x3 cups of flour and x4 cups of sugar. how many more cups of flour does she need to add?
130,There were x1 roses and x2 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now x3 roses and x4 orchids in the vase. how many more orchids than roses are there in the vase now?
131,After Jessie started to go jogging everyday she lost x1 kilograms. She weighed x2 kilograms before beginning jogging. how much does she weigh now?
132,x1 children were riding on the bus. At the bus stop <x3> children got on the bus while some got off the bus. Then there were 2 children altogether on the bus. how many children got off the bus at the bus stopx1 children were riding on the bus. At the bus stop <<3>> children got on the bus while some got off the bus. Then there were 2 children altogether on the bus. how many children got off the bus at the bus stopx1 children were riding on the bus. At the bus stop <<3>> children got on the bus while some got off the bus. Then there were 2 children altogether on the bus. how many children got off the bus at the bus stopx1 children were riding on the bus. At the bus stop <<3>> children got on the bus while some got off the bus. Then there were 2 children altogether on the bus. how many children got off the bus at the bus stopx1 children were riding on the bus. At the bus stop <<3>> children got on the bus while some got off the bus. Then there were 2 children altogether on the bus. how many children got off the bus at the bus stopx1 children were riding on the bus. At the bus stop <<3>> children got on the bus while some got off the bus. Then there were 2 children altogether on the bus. how many children got off the bus at the bus stopx1 children were riding on the bus. At the bus stop <<3>> children got on the bus while some got off the bus. Then there were 2 children altogether on the bus. how many children got off the bus at the bus stopx1 children were riding on the bus. At the bus stop <<3>> children got on the bus while some got off the bus. Then there were 2 children altogether on the bus. how many children got off the bus at the bus stopx2?
133,There are x1 different books and x2 different movies in the ' crazy silly school ' series. If you read x3 of the books and watched x4 of the movies how many more books than movies have you read?
134,Emily is making bead necklaces for her friends. She made x1 necklaces and each necklace takes x2 beads. how many beads did emily have?
135,A farmer had x1 tomatoes and x2 potatoes in his garden. If he picked x3 potatoes how many tomatoes and potatoes does he have left?
136,Last week Fred had x1 dollars and Jason had x2 dollars. Fred washed cars over the weekend and now has x3 dollars. Jason delivered newspapers and now has x4 dollars. how much money did they earn by washing cars?
137,A mailman has to give x1 pieces of junk mail to each house in each block. If there are x2 houses on a block how many pieces of junk mail should he give in each block?
138,Matthew gave equal numbers of crackers and cakes to his x1 friends. If he had x2 crackers and x3 cakes initially how many cakes did each person eat?
139,Jessica cut some roses from her flower garden to put in her vase. There are now x1 roses in the vase. If there were x2 roses in the vase initially how many roses did she cut?
140,x1 children were riding on the bus. At the bus stop x2 children got on the bus while some got off the bus. Then there were x3 children altogether on the bus. how many more children got off the bus than those that got on?
141,A book has x1 chapters. The first chapter is x2 pages long the second chapter is x3 pages long and the third chapter is x4 pages long. how many pages does the book have altogether?
142,"x1 red peaches, x2 yellow peaches and x3 green peaches are in the basket. how many peaches are in the basket?"
143,Paige was helping her mom plant flowers and they put x1 seeds in each flower bed. If they planted x2 seeds altogther how many flower beds did they have?
144,Because of the decision Sofia asked the students to suggest specific types of food. If x1 students suggested adding mashed potatoes x2 suggested adding bacon to the menu and x3 suggested adding tomatoes how many more students suggested mashed potatoes than those that suggested bacon?
145,In a school there are x1 girls and x2 boys. x3 more girls and x4 more boys joined the school. how many boys are there in the school now?
146,After resting they decided to go for a swim. If the depth of the water is x1 times Dean's height and he stands at x2 feet how much deeper is the water than dean's height?
147,Next on his checklist is wax to stick the feathers together. He needs x1 g of wax more. If the feathers require a total of x2 g of wax how many grams of wax does he already have?
148,Frank was reading through his favorite book. He read x1 pages per day. If the book had x2 pages how many days did he take to finish the book?
149,There are a total of x1 peaches in a basket. If there are x2 red peaches and some more green peaches in the basket. how many green peaches are in the basket?
150,After resting they decided to go for a swim. The depth of the water is x1 times Dean's height. Dean is x2 feet shorter than Ron. If Ron stands at x3 feet how deep was the water?
151,There are x1 pots in each of the x2 gardens. Each pot has x3 flowers in it. how many flowers are there in all?
152,Paige was helping her mom plant flowers and together they planted some seeds. They put x1 seeds in each flower bed. If there are x2 flowerbeds how many seeds did they plant?
153,Marco and his dad went strawberry picking. Together their strawberries weighed x1 pounds. Marco's strawberries weighed x2 pounds. how much more did his strawberries weigh than his dad's?
154,Julia played tag with x1 kids on wednesday. She had played with x2 kids on monday and x3 kids on tuesday. how many more kids did she play with on monday than on wednesday?
155,Carol was sending out birthday invitations to x1 friends. If each package of invitations she bought had x2 invitations in it how many packs does she need so that no friend gets left out?
156,"A grocery store had x1 apples, x2 bottles of regular soda and x3 bottles of diet soda. how many more bottles than apple did they have?"
157,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped x1 inches. The mouse jumped x2 inches lesser than the frog who jumped x3 inches farther than the grasshopper. how much farther did the mouse jump than the grasshopper?"
158,Faye was placing her pencils and crayons into x1 rows with x2 pencils and x3 crayons in each row. how many pencils and crayons does she have altogether?
159,The school is planning a field trip. The school has x1 classrooms. There are <x3> students in the school with each classroom having the same number of students. If there are 2 seats on each school bus. how many buses are needed to take the tripThe school is planning a field trip. The school has x1 classrooms. There are <<3>> students in the school with each classroom having the same number of students. If there are 2 seats on each school bus. how many buses are needed to take the tripThe school is planning a field trip. The school has x1 classrooms. There are <<3>> students in the school with each classroom having the same number of students. If there are 2 seats on each school bus. how many buses are needed to take the tripThe school is planning a field trip. The school has x1 classrooms. There are <<3>> students in the school with each classroom having the same number of students. If there are 2 seats on each school bus. how many buses are needed to take the tripThe school is planning a field trip. The school has x1 classrooms. There are <<3>> students in the school with each classroom having the same number of students. If there are 2 seats on each school bus. how many buses are needed to take the tripThe school is planning a field trip. The school has x1 classrooms. There are <<3>> students in the school with each classroom having the same number of students. If there are 2 seats on each school bus. how many buses are needed to take the tripThe school is planning a field trip. The school has x1 classrooms. There are <<3>> students in the school with each classroom having the same number of students. If there are 2 seats on each school bus. how many buses are needed to take the tripThe school is planning a field trip. The school has x1 classrooms. There are <<3>> students in the school with each classroom having the same number of students. If there are 2 seats on each school bus. how many buses are needed to take the tripx2?
