,Index,Symbolic With Steps,Symbolic Without Steps,Symbolic With Intermediate Variables,Numerical With Steps,Numerical Without Steps,Numerical With Intermediate Variables,Symbolic Answer,Numerical Answer,Numerical Equation
10,69,"Olivia spent w dollars at a supermarket. 

That means she had w dollars to spend at the supermarket. 

Now she has x dollars left with her. 

That means she had w + x dollars with her in total.",Olivia had w + x dollars initially.,"Olivia spent w dollars at a supermarket. If she has x dollars left with her How much money did she have initially?

Olivia had y dollars initially.

She spent w dollars at the supermarket, so she has y - w dollars left.

We know that she has x dollars left, so:

y - w = x

y = w + x","Olivia spent 78 dollars at a supermarket. 

That means she had 78 dollars to spend at the supermarket. 

That means she had 78 + 33 = 111 dollars in total.", Olivia had 111 dollars initially.,"Olivia spent 78 dollars at a supermarket. If she has 33 dollars left with her How much money did she have initially?

Olivia spent 78 dollars at a supermarket. If she has 33 dollars left with her, she had 78 - 33 = 45 dollars initially.",( w + x ),111,( 78.0 + 33.0 )
11,502,"There are w seats in each Ferris wheel in paradise park. 
Each seat in a Ferris wheel can hold x people. 
How many people can ride y Ferris wheels at the same time?

The answer is w*x*y.",There are w*x*y people that can ride the Ferris wheels at the same time.,"There are w seats in each Ferris wheel. 
There are x people in each seat. 
There are y Ferris wheels in the park. 

The total number of people who can ride the Ferris wheels at the same time is: w*x*y","There are 19 seats in each Ferris wheel. 
There are 15 people in each seat. 
There are 20 Ferris wheels. 

19 seats x 15 people x 20 Ferris wheels = 5700 people",There can be a maximum of 285 people riding the 20 Ferris wheels at the same time.,"There are 19 seats in each Ferris wheel. 
There are 15 people in each seat. 
There are 20 Ferris wheels. 

19 seats * 15 people * 20 Ferris wheels = 5700 people",( ( w * x ) * y ),5700,( ( 19.0 * 15.0 ) * 20.0 )
12,870,"First, we know that Steven has w peaches. We also know that Jake has x fewer peaches than Steven. So, we can say that Jake has w - x peaches. 

Next, we know that Steven has y more peaches than Jill. So, we can say that Jill has w - y peaches. 

Now, we have all the information we need to solve for Jill's peaches. We know that Jake has w - x peaches and we know that Jill has w - y peaches. We also know that Jake has x fewer peaches than Jill. So, we can say that x = w - y - (w - x), which is the same as saying x = 2w - 2x - y. 

Now that we have an equation for x, we can solve for it. We know that w = x + y + z, so we can plug that in for w in our equation for x. We get x = 2(x + y + z) - 2x - y, which is the same as saying x = 3x + 2y + z - y. 

Now we can solve for x. We get x = y + z.",Jill has w - y peaches.,"Steven has w peaches.

Jake has x fewer peaches than Steven.

Jill has y more peaches than Jake.

Jill has w + y peaches.","Steven has 18 peaches. Jake has 12 fewer peaches than Steven. So Jake has 6 peaches. 

Steven has 18 peaches. Jill has 8 more peaches than Jake. So Jill has 14 peaches.",Jill has 10 peaches.,"Let's denote the number of peaches that Jill has as $x$. 

Then, we know that: 

$x + 8 = 18$

$x + 12 = 18 - 8$

$x = 18 - 8 - 12$

$x = -2$

This is not a possible answer, because we are dealing with peaches, which are physical objects and therefore cannot be negative. 

The only other possibility is that we have made a mistake in our calculations. Let's check. 

$18 + 12 = 30$

$18 + 8 = 26$

$30 - 26 = 4$

This is the correct answer.",( w - y ),10,( 18.0 - 8.0 )
13,913,"First, we need to know how many push-ups Zachary did. We know that David did more push-ups than Zachary, so we'll start by subtracting x from w. 

w - x = y

That means that y is the number of push-ups Zachary did. 

Now we need to add y and w together to get the total number of push-ups done by both Zachary and David. 

y + w = total number of push-ups

We can plug in what we know for y and w to solve for the total number of push-ups. 

w - x + w = total number of push-ups

w - x + w = 2w - x

2w - x = total number of push-ups",Zachary and David did a total of w + x push-ups.,"Let's say that Zachary did y push-ups. 

Then we know that: 
David did w push-ups in gym class today.
David did x more push-ups than Zachary.

That means that: 
w = x + y

Now we can solve for y: 
y = w - x 

Now we know that: 
Zachary did y push-ups.
Zachary did w - x push-ups.

That means that the total number of push-ups that Zachary and David did is: 
w + (w - x) = 2w - x","David did 51 push-ups. 
Zachary did 49 more push-ups than David. 

That means that Zachary must have done 100 push-ups. 

David and Zachary did a total of 151 push-ups.",David and Zachary did a total of 100 push-ups.,"Let's denote the number of push-ups Zachary did by $z$. Then, we know that $z + 49 = 51$, so $z = 2$. 

Therefore, Zachary and David did $2 + 51 = 53$ push-ups altogether.",( ( w + <w) - x ),53,( ( 51.0 + 51.0 ) - 49.0 )
14,651,"First, we need to figure out how many cups of flour she needs in total. The recipe calls for w cups of flour, and she already put in y cups of flour. So she needs w - y cups of flour in total. 

Next, we need to figure out how many cups of sugar she needs in total. The recipe calls for x cups of sugar. 

Now we need to compare the two. The recipe calls for w - y cups of flour and x cups of sugar. We want to know how many more cups of sugar than cups of flour she needs to add. So we take x - (w - y) = x - w + y.",Mary needs to add x - y cups of sugar.,"First, we need to find out how many cups of sugar she needs to add in total. We can call this variable z. 

We know that she needs w cups of flour and x cups of sugar in total. We also know that she has already put in y cups of flour. 

This means that she needs to put in w-y cups of flour and x cups of sugar in total. 

We also know that she has already put in y cups of flour, which means that she needs to put in z-y cups of sugar. 

We can set these two equations equal to each other and solve for z. 

w-y=z-x 
z=w-y+x","First, we need to figure out how many cups of flour she needs to add. The recipe calls for 9 cups of flour, and she has already put in 4 cups of flour. So she needs to add 9 - 4 = 5 cups of flour. 

Next, we need to figure out how many cups of sugar she needs to add. The recipe calls for 11 cups of sugar, and she has already put in 4 cups of sugar. So she needs to add 11 - 4 = 7 cups of sugar. 

Finally, we need to figure out how many more cups of sugar than cups of flour she needs to add. We know that she needs to add 5 cups of flour and 7 cups of sugar. So she needs to add 7 - 5 = 2 more cups of sugar than cups of flour.",Mary needs to add 7 more cups of sugar than cups of flour.,"We know:
4 cups of flour -> x cups of sugar

We need to find:
x cups of sugar -> y cups of sugar

We are looking for:
y - x cups of sugar

Now we can write down the equation:
9x = 11y
y = (9x)/11",( x - ( w - y ) ),6,( 11.0 - ( 9.0 - 4.0 ) )
15,612,"There were some campers rowing in the morning. That means that not all of the campers went rowing in the morning. So, we can write:

x campers went rowing that day 
- w campers went rowing in the afternoon 
= some campers went rowing in the morning

We don't know how many campers went rowing in the morning, so we'll call that number y. So we have:

x campers went rowing that day
- w campers went rowing in the afternoon
= y campers went rowing in the morning

We can solve this equation for y:

y = x - w",There is not enough information to answer this question.,"Let's say that the number of campers who went rowing in the morning is $m$, and the number of campers who went rowing in the afternoon is $a$. 

We know that the total number of campers who went rowing that day is $x$, so:
$$x = m + a$$
We also know that some campers went rowing in the morning, so:
$$m > 0$$
We also know that some campers went rowing in the afternoon, so:
$$a > 0$$
We also know that the number of campers who went rowing in the morning is less than the total number of campers who went rowing that day, so:
$$m < x$$
We also know that the number of campers who went rowing in the afternoon is less than the total number of campers who went rowing that day, so:
$$a < x$$

Now we have four inequalities with two unknowns, $m$ and $a$. We can solve this system of inequalities using substitution. 

Substitute $x = m + a$ into each of the other three inequalities:
$$m + a > 0","There were 60 campers rowing that day. 

7 campers went rowing in the afternoon. 

That means that there were 53 campers rowing in the morning.","Some campers went rowing in the morning while 7 campers went rowing in the afternoon. If a total of 60 campers went rowing that day, then 53 campers went rowing in the morning.","Let's say that x is the number of campers who went rowing in the morning. Then we know that:

x + 7 = 60

x = 60 - 7

x = 53",( x - w ),53,( 60.0 - 7.0 )
16,646,"The day before yesterday, there were y visitors. The day before that, there were x visitors. So, two days ago, there were x + y visitors. 

Yesterday, there were w visitors. So, three days ago, there were x + y + w visitors.",There is not enough information provided to answer this question.,"Let's say that the number of visitors on the day before Rachel's visit was z. Then we have the following system of equations:
$$
\begin{cases}
z+x=y\\
y+x=w\\
\end{cases}
$$
$$
\begin{cases}
z=y-x\\
y=w-x\\
\end{cases}
$$
$$
\begin{cases}
z=w-2x\\
\end{cases}
$$
Now we have only one equation with one unknown, which we can easily solve:
$$
z=w-2x \Rightarrow z=w-2(y-z) \Rightarrow z=\frac{w+z}{2}
$$
Thus, the number of visitors on the day before Rachel's visit was $\frac{w+z}{2}$.","The day before the day before the day in question, there were 103 visitors. The day before that, there were 419 visitors. So, two days before the day in question, there were 103 + 419 = 522 visitors.",There is not enough information provided to answer this question.,"Let's denote the number of visitors on the day before the day in question as $x$. Then, the number of visitors two days before the day in question is $x-92$. We are looking for $x-92$.
$$
x = 419 + 92 = 511
$$
$$
x-92 = 419
$$",( x + y ),522,( 419.0 + 103.0 )
17,965,"The chef had w apples and x peaches. 

After making some pies, he had y apples left. 

How many apples did he use?

The chef used w-y apples.",The chef used w - y apples to make pies.,"A chef had w apples and x peaches. After making some pies, he had y apples left. How many apples did he use?

A chef had w apples and x peaches. After making some pies, he had y apples left. How many apples did he use?

A chef had w apples and x peaches. After making some pies, he had y apples left. How many apples did he use?

A chef had w apples and x peaches. After making some pies, he had y apples left. How many apples did he use?

A chef had w apples and x peaches. After making some pies, he had y apples left. How many apples did he use?

A chef had w apples and x peaches. After making some pies, he had y apples left. How many apples did he use?

A chef had w apples and x peaches. After making some pies, he had y apples left. How many apples did he use?

A chef had w apples and x peaches. After making some pies, he had y apples left. How many apples did he use?

A chef had w apples and x peaches. After making some pies","The chef had 40 apples and 54 peaches. 

After making some pies, he had 39 apples left. 

That means he used 1 apple to make pies.",The chef used 1 apple to make pies.,"Let's say that x is the number of apples used in pies. 

Then we have the following equation: 

40 - x + 54 = 39 

We can solve it for x: 

40 - x = -15 

x = 55 

So, the chef used 55 apples in pies.",( w - y ),1,( 40.0 - 39.0 )
18,699,"We know that Lucy went to the grocery store and she bought w packs of cookies and x packs of cake. We also know that she bought more packs of cookies than cake. 

That means that w > x. 

We can solve this problem by subtracting x from both sides. 

w - x > x - x

w - x > 0

That means that w - x is the answer, which is the number of more packs of cookies Lucy bought over cake.", w - x,"Let's say that one pack of cookies is c and one pack of cake is k. 

Lucy went to the grocery store. She bought w packs of cookie and x packs of cake.

This means that:

c*w+k*x=constant

We need to find out how many more packs of cookie she bought over cake. In other words, we need to find out how many more c's there are than k's. 

This is the same as saying that we need to find out how many more c's there are than k's in the equation:

c*w+k*x=constant

We can do this by subtracting kx from both sides:

c*w+k*x-k*x=constant-k*x

c*w=constant-k*x

c*w/c=constant/c-k*x/c

w=constant/c-k*x/c

w=constant/c-(constant/c-w)/x

w=constant/c-(constant-c*w)/x

w","Lucy went to the grocery store. She bought 10 packs of cookie and 4 packs of cake. 

We want to know how many more packs of cookie she bought over cake. 

We can find this out by subtracting the number of packs of cake from the number of packs of cookie. 

10 - 4 = 6

Lucy bought 6 more packs of cookie than cake.",Lucy bought 6 more packs of cookies than cake.,"Let's say that x is the number of packs of cookies and y is the number of packs of cake. 

We know that:

x + y = 14

x = 10

y = 4

Now we can solve for y:

y = 14 - 10

y = 4",( w - x ),6,( 10.0 - 4.0 )
19,205,"Bryan has w books and x magazines in each of his y bookshelves.

This means that Bryan has w*y books in total and x*y magazines in total.", wxy magazines,"Bryan has w books and x magazines in each of his y bookshelves.

This means that he has w*y books in total and x*y magazines in total.","Bryan has 9 books and 46 magazines in each of his 10 bookshelves. 

This means that Bryan has 9 * 10 = 90 books in total. 

Since he has 46 magazines in each bookshelf, this means that he has 46 * 10 = 460 magazines in total. 

Therefore, Bryan has 90 books and 460 magazines in total.",Bryan has 9 books and 46 magazines in each of his 10 bookshelves. He has a total of 460 magazines.,"Bryan has 9 books and 46 magazines in each of his 10 bookshelves.

Let's introduce the following variables:

x = the number of bookshelves
y = the number of books
z = the number of magazines

We know that:

x = 10
y = 9
z = 46

Now we can write an equation:

x * y * z = 10 * 9 * 46

x * y * z = 4140

Therefore, Bryan has 4140 magazines in total.",( x * y ),460,( 46.0 * 10.0 )
20,706,"Josh had w marbles. 

Then he lost x marbles. 

That means he now has w - x marbles. 

But then he found y new marbles. 

That means he now has w - x + y marbles.",Josh has w - x + y marbles in his collection.,"Let's say that Josh had w marbles in his collection. He lost x marbles and found y new ones. How many marbles does he have now?

Josh had w marbles in his collection.

Josh lost x marbles.

Josh found y new marbles.

Josh has w - x + y marbles in his collection now.","Josh had 19 marbles. 

He lost 11 marbles. 

That means he has 19 - 11 = 8 marbles left. 

He found 5 new marbles. 

That means he has 8 + 5 = 13 marbles now.",Josh has 13 marbles in his collection.,"Josh had 19 marbles in his collection. He lost 11 marbles and found 5 new ones. How many marbles does he have now?

Josh had $x$ marbles in his collection. He lost $y$ marbles and found $z$ new ones. How many marbles does he have now?

$x = 19, y = 11, z = 5$

$x - y + z = 19 - 11 + 5 = 13$

Josh has 13 marbles now.",( ( w - x ) + y ),13,( ( 19.0 - 11.0 ) + 5.0 )
21,134,Emily made w necklaces. So she used w * x beads.,Emily had wx beads.,"Emily made w necklaces and each necklace takes x beads.

Emily had w*x beads.","Emily made 11 necklaces. 
Each necklace takes 28 beads. 

We can multiply 11 by 28 to find out how many beads Emily used in total. 

11 * 28 = 308

Emily had 308 beads.",Emily had 308 beads.,"Emily has 11 necklaces and each necklace takes 28 beads. 

We can say that: 

11 necklaces * 28 beads = 308 beads

Emily had 308 beads.",( w * x ),308,( 11.0 * 28.0 )
22,386,"Emily made x necklaces. 
Each necklace takes 2 beads. 

So, if we multiply x and 2, we will get the answer. 

2x = the number of beads 

Therefore, the answer is 2x.","If Emily made x necklaces, she would have used 2x beads.","Emily made x necklaces. 
Each necklace takes 2 beads. 
Therefore, the total number of beads is 2x.","Emily has made 26 necklaces. Each necklace has 2 beads. 

We can multiply to find out how many beads Emily has used in total. 

26 x 2 = 52

Emily has used 52 beads in total.",Emily had 52 beads.,"Emily has $x$ beads. 
She made $y$ necklaces. 
Each necklace takes $z$ beads. 

We know that $y = 26$ and $z = 2$. 

We need to find $x$. 

We can write an equation: $x = yz$. 

We know that $y = 26$ and $z = 2$. 

Therefore, $x = 26 \cdot 2 = 52$. 

Emily had 52 beads.",( x * y ),52,( 26.0 * 2.0 )
23,512,"First, we know that David did more push-ups than Zachary. This means that the number of push-ups David did, x, is greater than the number of push-ups Zachary did. 

We also know that the total number of push-ups done by both David and Zachary is w. 

Now, we can set up an equation to solve for w. 

x + y = w 

We know that y is less than x, so we can say that y is less than w. 

Now we have two equations: 

x + y = w 
y < w 

We can solve for w by finding the intersection of these two equations. 

The intersection of these two equations is w = x. 

This means that the total number of push-ups done by both David and Zachary is equal to the number of push-ups that David did.","If David did x push-ups, then Zachary did (x - w) push-ups. So, David and Zachary did a total of x + (x - w) = 2x - w push-ups.","Let's say that David did x push-ups. 

Zachary did w push-ups. 

David did more push-ups than Zachary, so:

x > w

Now we need to find out how many push-ups David and Zachary did altogether. 

We can use the fact that the sum of two numbers is equal to the difference between the larger number and the smaller number plus the smaller number. 

The sum of two numbers is equal to the difference between the larger number and the smaller number plus the smaller number:

x + w = (x - w) + w

We know that x is larger than w, so we can write:

x + w = (x - w) + w

x + w = x - w + w

x + w = x

Now we know that the sum of David's and Zachary's push-ups is equal to x.","First, we know that David did more push-ups than Zachary. This means that the difference between the two is positive. 

Next, we know that the difference is 56. This means that if we start with the number of push-ups that Zachary did, and we add 56, we will get the number of push-ups that David did. 

So, if we start with the number of push-ups that Zachary did, and we add 56, we will get 38. 

This means that Zachary did 38 - 56 = -18 push-ups. 

However, this is not possible, because it is not possible to do a negative number of push-ups. 

This means that our original assumption must be false, and David did not do 56 more push-ups than Zachary in gym class today.",Zachary and David did a total of 94 push-ups.,"Let's say that $x$ is the number of push-ups that Zachary did. Then we know that 
$$x + 56 = 38 + 56 \Rightarrow x = 94$$

So, Zachary did 94 push-ups and David did 38 + 56 = 94 push-ups. In total, they did 94 + 94 = 188 push-ups.",( ( x + <x) - w ),20,( ( 38.0 + 38.0 ) - 56.0 )
24,753,"There are w boys and x girls in the school. 

y more girls joined the school. 

That means there are now w boys and x + y girls in the school. 

There are x + y - w more girls than boys in the school.",There are w boys and x girls in the school. y more girls joined the school. The school has y more girls than boys.,"There are w boys and x girls in the school. 
y more girls joined the school. 

There are w boys and x + y girls in the school. 

There are more girls than boys in the school if x + y > w.","There are 362 boys and 257 girls in the school. 

403 more girls joined the school. 

That means there are 660 girls in the school now. 

There are 660 girls and 362 boys in the school. 

That means there are 298 more girls than boys in the school.",There are 403 more girls than boys in the school.,"There are $b$ boys and $g$ girls in the school. 
$b + g = 619$
$b = 619 - g$
$403$ more girls joined the school. 
$g = 257 + 403 = 660$
$b = 619 - 660 = -41$
There are $41$ more girls than boys in the school.",( ( x + y ) - w ),298,( ( 257.0 + 403.0 ) - 362.0 )
